,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
7,477,SIA/HP/MIN/73704/2018,HPSEIAA/576/2018,"Sand, Stone & bajri Falling in Mauza Upsampada Batamandi, Tehsil Paonta Sahib, District Sirmaur, Himachal Pradesh with crusher unit of 45TPH.",PROP SUNIL KUMAR,Delisted,EC,
8,478,SIA/HP/MIN/435982/2023,HPSEIAA/2023/1094,Extraction of stone by Smt. Sonal Sood Prop: M/s Tashkent Stone Crusher,SONAL SOOD,EC Granted,EC,
9,479,SIA/HP/MIN/58583/2016,,Sand Stone And Bajri Mining by Ashok  Indoria,ASHOK INDORIA,TransferToDEIAA,EC,
10,480,SIA/HP/MIN/53424/2016,HPSEIAA/2016/484,M/S Guru Nanak Stone Crusher,ASHUTOSH GUPTA,EC Granted,EC,
1,481,SIA/HP/MIN/59946/2016,SEIAA/2016/535,"SAND, STONE AND BAJRI MINING PROJECT LOCATED AT
MAUZA SAMAUNA, MAUZA BIR-BEGHERA,
TEHSIL SUJANPUR, DISTRICT HAMIRPUR, HIMACHAL PRADESH AREA: 08-55-33 HA, PROPOSED CAPACITY: 120412 TPA",AJAY PAL SINGH,Delisted,EC,
2,482,SIA/HP/MIN/426167/2023,HPSEIAA/2023/1078,“Stone Mining Project”,LACHMI CHANDEL,ADS by SEAC,EC,
3,483,SIA/HP/MIN/59918/2016,HPSEIAA/2016/532,"sand,boulder and bajri mining project by shri madan mohan sharma",SAND BOULDER AND BAJRI MINING PROJECT BY SHRI MADAN MOHAN SHARMA,EC Granted,EC,
4,484,SIA/HP/MIN/216700/2021,HPSEIAA/2021/846,"Sh. Kapil Sharma- Mining Lease Area at Mauza & Mohal- Sainsowal, Tehsil- Haroli, District- Una, H.P.",SH. KAPIL SHARMA- MINING LEASE AREA,EC Granted,EC,
5,485,SIA/HP/MIN/134097/2019,HPSEIAA/2020/707,“Sand & Stone Mining Project”,SANGAT  RAM,EC Granted,EC,
6,486,SIA/HP/MIN/144398/2020,HPSEIAA/2020/716,sand stone boulder and bajri mining project by Sh Yashpal Chauhan,SAND STONE BOULDER AND BAJRI MINING PROJECT BY SH YASHPAL CHAUHAN,EC Granted,EC,
7,487,SIA/HP/MIN/195255/2021,HPSEIAA/2021/808,Sh. Mohammad Soyab Akhter Auctioned area,SH. MOHAMMAD SOYAD AKHTER AUCTIONED AREA,Delisted,EC,
8,488,SIA/HP/MIN/79205/2021,HPSEIAA/2022/961,Proposed Minor Mineral Lease for Stone of Area 10.1529 Hectare,SJVN SHIMLA,EC Granted,EC,
9,489,SIA/HP/MIN/235151/2021,HPSEIAA/2021/889,Sh. Ashok Thakur Mining Lease Area,SH. ASHOK THAKUR MINING LEASE AREA,EC Granted,EC,
10,490,SIA/HP/MIN/232784/2021,HPSEIAA/2021/910,Slate Mining Project by Sh mani Ram,SLATE MINING PROJECT,EC Granted,EC,
1,491,SIA/HP/MIN/17452/2012,HPSEIAA/2016/524,NO.J-11015/193/2011-IA-II (M),SHRI LACHHMI CHAND RIVER BED MINING PROJECT OF MINOR MINERALS,WithdrawEC,EC,
2,492,SIA/HP/MIN/56926/2016,,MAUZA BHAROLI KUTIARA MINING SITE,SATISHWALIA,TransferToDEIAA,EC,
3,493,SIA/HP/MIN/451437/2023,,"“Sand, Stone & Bajri Mining Project, Khasra No.401, 402, 403 and 409”",RAMAN KUMAR,Pending at PP due to eds,EC,
4,494,SIA/HP/MIN/52310/2016,HPSEIAA/2016/477,Stone mining by Suresh Chauhan,SURESH CHAUHAN,EC Granted,EC,
5,495,SIA/HP/MIN/444340/2023,HPSEIAA/2023/1127,"Stone Mining Project Area 4.2146 Hact.  Mauza and Mohal Badu Sahib Tehsil Pachhad & District– Sirmaur, Himachal Pradesh By M/s Kalgidhar trust",THE KALGIDHAR TRUST,Agenda Uploaded by SEAC,EC,
6,496,SIA/HP/MIN/75946/2018,HPSEIAA/2018/590,"Sand, Stone and Bajri Mining Project By Shri Mohinder Singh & Company",MOHINDER SINGH AND COMPANY MINING PROJECT,EC Granted,EC,
7,497,SIA/HP/MIN/442956/2023,,"CLUSTER AREA OF 4 EXISTING MINING LEASE 43.9786 Ha. AND  PROPOSED STONE SAND AND BAJRI MINING PROJECT AT MAUZA / MOHAL- MOHAKAMPUR NAWADA Tehsil – PAONTA SAHIB, District – SIRMAUR, State – HIMACHAL PARDESH",ROHIT CHOWDHARY,Under examination of SEIAA,EC,
8,498,SIA/HP/MIN/421688/2023,HPSEIAA/2023/1058,"Sand, Bajri & Boulder Mining Project on Satluj River of District- Mandi, Himachal Pradesh, Area 0.49 Ha (06-11-05 Bighas),",DILA RAM,Pending at PP due to eds,EC,
9,499,SIA/HP/MIN/60989/2016,,minor mineral mining project for mining of stone by sh Rohit Thakur,M/S NAV DURGA CRUSHING COMPANY,TransferToDEIAA,EC,
10,500,SIA/HP/MIN/59946/2016,SEIAA/2016/535,"SAND, STONE AND BAJRI MINING PROJECT LOCATED AT
MAUZA SAMAUNA, MAUZA BIR-BEGHERA,
TEHSIL SUJANPUR, DISTRICT HAMIRPUR, HIMACHAL PRADESH AREA: 08-55-33 HA, PROPOSED CAPACITY: 120412 TPA",AJAY PAL SINGH,Delisted,EC,
1,501,SIA/HP/MIN/38361/2019,HPSEIAA/2019/645,SMT. SEEMA DEVI MINING LEASE AREA,SMT. SEEMA DEVI MINING LEASE AREA,EC Granted,EC,
2,502,SIA/HP/MIN/169950/2020,,M/s Krishna Stone Crusher,M/S KRISHNA STONE CRUSHER MINING LEASE AREA,Delisted,EC,
3,503,SIA/HP/MIN/126087/2019,HPSEIAA/2019/683,Sh. Bhim Singh Mining Lease area,SH. BHIM SINGH RANGRA,EC Granted,EC,
4,504,SIA/HP/MIN/156038/2020,HPSEIAA/2020/741,"Extraction of Brick Earth falling in Mauza Patliyon Ganguwala, Jamniwala, Tehsil Paonta Sahib, District Sirmour, Himachal Pradesh by Sh. Harpreet Singh, Prop. M/s Dashmesh Bricks Supplier","EXTRACTION OF BRICK EARTH FALLING IN MAUZA PATLIYON GANGUWALA, JAMNIWALA, TEHSIL PAONTA SAHIB, DISTRICT SIRMOUR, HIMACHAL PRADESH BY SH. HARPREET SINGH, PROP. M/S DASHMESH BRICKS SUPPLIER.",Delisted,EC,
5,505,SIA/HP/MIN/31998/2016,HPSEIAA/2019/619,"Mining of Sand, Stone & Bajri from Sarsa river Proposed by Madhuri Saini prop. M/s Manjholi Stone Crusher",MS MANJHOLI STONE CRUSHER,EC Granted - Processed offline,EC,
6,506,SIA/HP/MIN/147829/2020,HPSEIAA/2020/718,Sand mining project by Smt Kaushalya devi,SAND MINING PROJECT BY SMT KAUSHALYA DEVI,EC Granted,EC,
7,507,SIA/HP/MIS/128894/2019,HPSEIAA/2019/676,300 beds & teaching block,DR. YS PARMAR GOVT. MEDICAL COLLEGE NAHAN,EC Granted,EC,
