"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"6215",6214,"SIA/GJ/MIN/36413/2019","SHRI GIIRSHBHAI BECHARBHAI PATEL","Non-Coal Mining","18 May 2019","18/05/2019","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/36413/2019&type=EC&ID=55778"
"6216",6215,"SIA/GJ/NCP/53802/2016","""Shayona Aagman""-Residential & Essential Shop Project","INFRA-1","16 May 2016","16/05/2016","","","21/05/2016","","","25/05/2016","17/05/2017","24/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53802/2016&type=EC&ID=20138"
"6217",6216,"SIA/GJ/MIN/58915/2016","Fajalpur Ordinary Sand/Gravel Mining project","Non-Coal Mining","17 Sep 2016","17/09/2016","15/09/2016","17/09/2016","20/09/2016","","","22/09/2016","05/11/2016","17/11/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58915/2016&type=EC&ID=27527"
"6218",6217,"SIA/GJ/MIS/193637/2021","Sankalp In","INFRA-2","22 Jan 2021","22/01/2021","","","30/01/2021","","","18/02/2021","19/08/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/193637/2021&type=EC&ID=160207"
"6219",6218,"SIA/GJ/IND2/23923/2018","M/s. World Chem Industries","Industrial Projects - 2","03 Apr 2019","03/04/2019","02/04/2019","03/04/2019","26/03/2019","29/03/2019","","22/04/2019","09/07/2019","11/12/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/23923/2018&type=EC&ID=54025"
"6220",6219,"SIA/GJ/IND2/156572/2020","M/s. Khodiyar Chemicals","Industrial Projects - 2","08 Jun 2020","08/06/2020","","","11/06/2020","","","09/07/2020","12/03/2021","05/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/156572/2020&type=EC&ID=111689"
"6221",6220,"SIA/GJ/MIS/156848/2020","RAGHUVEER DEVELOPERS","INFRA-2","13 Jul 2020","09/06/2020","","","15/06/2020","09/07/2020","13/07/2020","18/07/2020","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/156848/2020&type=EC&ID=111763"
"6222",6221,"SIA/GJ/IND2/55971/2020","RAVESHIA ORGANICS LLP","Industrial Projects - 2","27 Aug 2020","27/08/2020","","","29/08/2020","","","14/09/2020","14/03/2021","11/05/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/55971/2020&type=EC&ID=125534"
"6223",6222,"SIA/GJ/MIS/201906/2021","Ratnam Kalrav","INFRA-2","14 Apr 2021","13/03/2021","","","17/03/2021","01/04/2021","14/04/2021","19/04/2021","22/12/2021","05/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/201906/2021&type=EC&ID=172214"
"6224",6223,"SIA/GJ/IND2/63162/2018","M/s. Sayan Greenochem Pvt. Ltd.","Industrial Projects - 2","09 Sep 2021","07/05/2021","","","19/05/2021","19/06/2021","09/09/2021","13/09/2021","09/12/2021","22/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/63162/2018&type=EC&ID=185628"
