"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"1",0,"SIA/GJ/MIS/108574/2019","A. SHRIDHAR ATHENS","INFRA-2","20 Jun 2019","20/06/2019","","","03/07/2019","","","04/07/2019","09/09/2019","04/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/108574/2019&type=EC&ID=56802"
"2",1,"SIA/GJ/NCP/53074/2016","AHMEDABAD MUNICIPAL CORPORATION FP NO.: (52/2/1, TPS NO. 88, Vatva-2) 
VATVA, CITY: AHMEDABAD
GUJARAT

","INFRA-1","22 Apr 2016","22/04/2016","","","26/04/2016","","","28/04/2016","07/01/2017","29/12/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53074/2016&type=EC&ID=19535"
"3",2,"SIA/GJ/NCP/53076/2016","AHMEDABAD MUNICIPAL CORPORATION 
FP NO.: (50+50/1+53/1+ 11/5)/P, TPS NO. 88, 
VATVA, CITY: AHMEDABAD
GUJARAT
","INFRA-1","22 Apr 2016","22/04/2016","","","26/04/2016","","","28/04/2016","07/01/2017","29/12/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53076/2016&type=EC&ID=19537"
"4",3,"SIA/GJ/MIN/53100/2016","M/S.Harishbhai Naranbhai Chudashma","Non-Coal Mining","23 Apr 2016","23/04/2016","26/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53100/2016&type=EC&ID=19559"
"5",4,"SIA/GJ/NCP/53174/2016","ALPINE MOONLIGHT","INFRA-1","26 Apr 2016","26/04/2016","27/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53174/2016&type=EC&ID=19619"
"6",5,"SIA/GJ/NCP/53188/2016","Arihant Heights","INFRA-1","26 Apr 2016","26/04/2016","","","27/04/2016","","","28/04/2016","22/11/2016","29/10/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53188/2016&type=EC&ID=19628"
"7",6,"SIA/GJ/MIN/53228/2016","CHANDRESHKUMAR DADUBHAI BABARIYA","Non-Coal Mining","27 Apr 2016","27/04/2016","28/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53228/2016&type=EC&ID=19664"
"8",7,"SIA/GJ/NCP/53237/2016","Hindustan Textile Market","INFRA-1","27 Apr 2016","27/04/2016","","","28/04/2016","","","28/04/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53237/2016&type=EC&ID=19673"
"9",8,"SIA/GJ/NCP/75595/2018","Residential Building","INFRA-1","27 Jun 2018","27/06/2018","","","07/07/2018","","","09/07/2018","","31/12/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75595/2018&type=EC&ID=44665"
"10",9,"SIA/GJ/IND2/19729/2017","SABARI CHEMICALS EXPANSION PROJECT","Industrial Projects - 2","01 Jul 2018","01/07/2018","","","","","","","","03/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/19729/2017&type=EC&ID=44704"
"11",10,"SIA/GJ/MIN/3675/2015","navdurga quarry works","Non-Coal Mining","31 Oct 2015","31/10/2015","","","02/11/2015","","","10/11/2015","23/12/2015","21/12/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/3675/2015&type=EC&ID=9008"
"12",11,"SIA/GJ/MIN/927/2015","MAHADEVPURA (KHEDAVADA)ORDINARY SAND MINE","Non-Coal Mining","07 Aug 2015","07/08/2015","","","25/08/2015","","","02/09/2015","23/12/2015","21/12/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/927/2015&type=EC&ID=9016"
"13",12,"SIA/GJ/MIN/17292/2016","","Non-Coal Mining","28 Sep 2017","28/09/2017","","","17/10/2017","","","24/10/2017","","12/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/17292/2016&type=EC&ID=38759"
"14",13,"SIA/GJ/MIN/69998/2017","Jigneshbhai Lavjibhai sabhani","Non-Coal Mining","29 Sep 2017","29/09/2017","07/10/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/69998/2017&type=EC&ID=38772"
"15",14,"SIA/GJ/IND2/18433/2017","ROAQ Chemicals Pvt. Ltd.","Industrial Projects - 2","07 Oct 2017","07/10/2017","","","17/10/2017","","","26/10/2017","27/03/2018","14/12/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/18433/2017&type=EC&ID=38848"
"16",15,"SIA/GJ/NCP/70252/2017","Parshwa Exotica","INFRA-1","11 Oct 2017","11/10/2017","","","17/10/2017","","","06/11/2017","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/70252/2017&type=EC&ID=38888"
"17",16,"SIA/GJ/IND2/30010/2018","Pooja Chemical Industries","Industrial Projects - 2","20 May 2021","20/05/2021","24/07/2019","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/30010/2018&type=EC&ID=57217"
"18",17,"SIA/GJ/IND2/31404/2019","Avinash Industries","Industrial Projects - 2","10 Jul 2019","10/07/2019","24/07/2019","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/31404/2019&type=EC&ID=57252"
"19",18,"SIA/GJ/IND2/38859/2019","Proposed 150000TPA Carbon black manufacturing and 16 MW Co-generation power plant","Industrial Projects - 2","15 Jul 2019","15/07/2019","","","18/07/2019","","","18/07/2019","11/09/2019","23/08/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/38859/2019&type=EC&ID=57269"
"20",19,"SIA/GJ/MIS/163968/2020","Ville Flora","INFRA-2","17 Jul 2020","17/07/2020","","","10/08/2020","","","23/08/2020","","31/12/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/163968/2020&type=EC&ID=116237"
"21",20,"SIA/GJ/MIN/40724/2016","KAMUBEN SONUBHAI OAD","Non-Coal Mining","13 Jan 2016","13/01/2016","","","18/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40724/2016&type=EC&ID=9572"
"22",21,"SIA/GJ/MIN/49612/2016","EXISTING MINOR MINERAL ORDINARY SAND
MINING LEASE PROJECT @ SR.NO.599,598,590 NI SAME PURNA RIVER-00.25.42 HA","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49612/2016&type=EC&ID=13412"
"23",22,"SIA/GJ/MIN/49630/2016","Maheshbhai Janubhai Bhadag","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49630/2016&type=EC&ID=13429"
"24",23,"SIA/GJ/MIN/49648/2016","ASSISTANT GEOLOGIST(Mehsana)
Block R3","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49648/2016&type=EC&ID=13446"
"25",24,"SIA/GJ/MIN/1243/2015","Mahendrasinh Sajjansinh","Non-Coal Mining","19 Aug 2015","19/08/2015","","","","","","","04/11/2015","02/11/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/1243/2015&type=EC&ID=2432"
"26",25,"SIA/GJ/IND/17524/2016","MASCOT CEMENT INDIA PVT. LTD.","Industrial Projects - 1","28 Aug 2017","28/08/2017","","","","","","","","31/03/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND/17524/2016&type=EC&ID=37286"
"27",26,"SIA/GJ/MIN/68618/2017","CARBORUNDUM UNIVERSAL LIMITED","Non-Coal Mining","12 Sep 2017","12/09/2017","21/09/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/68618/2017&type=EC&ID=38477"
"28",27,"SIA/GJ/NCP/60161/2016","ORCHID HARMONY","INFRA-1","05 Nov 2016","05/11/2016","","","08/11/2016","","","08/11/2016","27/04/2017","29/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/60161/2016&type=EC&ID=32517"
"29",28,"SIA/GJ/NCP/93714/2019","Integrated Group Housing facility by AMC (Smart City Aavas Yojna)","INFRA-1","18 Feb 2019","18/02/2019","16/02/2019","18/02/2019","27/02/2019","","","02/03/2019","01/06/2019","06/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/93714/2019&type=EC&ID=52406"
"30",29,"SIA/GJ/IND2/175601/2020","M/s. Interpharmachem Inc.","Industrial Projects - 2","26 Sep 2020","26/09/2020","","","28/09/2020","","","29/11/2020","07/07/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/175601/2020&type=EC&ID=134042"
"31",30,"SIA/GJ/MIN/52964/2016","M/S.Sand Mine Of Govindbhai Palabhai Bheda","Non-Coal Mining","18 Apr 2016","18/04/2016","21/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52964/2016&type=EC&ID=18456"
"32",31,"SIA/GJ/MIN/52965/2016","at:nanapondha,ta:kaprada,ha2.66.09 other than sand mining project","Non-Coal Mining","18 Apr 2016","18/04/2016","21/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52965/2016&type=EC&ID=18457"
"33",32,"SIA/GJ/IND2/175440/2020","Swati Spentose Private Limited (Unit 3)","Industrial Projects - 2","25 Sep 2020","25/09/2020","","","28/09/2020","","","29/11/2020","04/12/2021","22/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/175440/2020&type=EC&ID=133979"
"34",33,"SIA/GJ/MIN/53468/2016","ordi permit of kamdhenu enterprise kutiyana","Non-Coal Mining","05 May 2016","05/05/2016","09/05/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53468/2016&type=EC&ID=19857"
"35",34,"SIA/GJ/NCP/2842/2015","High rise commercial Building (HTC- HITECH TEXTILE CENTER)","INFRA-1","06 Oct 2015","06/10/2015","","","06/10/2015","","","30/10/2015","12/04/2016","29/10/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/2842/2015&type=EC&ID=32962"
"36",35,"SIA/GJ/MIN/49451/2016","Mahavirsinh Ranjitsinh Zala","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49451/2016&type=EC&ID=13251"
"37",36,"SIA/GJ/MIN/49463/2016","PATEL STONE INDUSTRIES","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49463/2016&type=EC&ID=13263"
"38",37,"SIA/GJ/MIN/49471/2016","black trap mine 1P, tehsil- jhagadia","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49471/2016&type=EC&ID=13271"
"39",38,"SIA/GJ/MIN/49511/2016","Ambika Stone Quarry","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49511/2016&type=EC&ID=13312"
"40",39,"SIA/GJ/MIN/49540/2016","Anjanaben Sanjay Mane","Non-Coal Mining","15 Feb 2016","15/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49540/2016&type=EC&ID=13341"
"41",40,"SIA/GJ/MIN/53633/2016","ORDINARY SAND MINING PROJECT BY MUKESHKUMAR NARANBHAI PATEL","Non-Coal Mining","11 May 2016","11/05/2016","17/05/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53633/2016&type=EC&ID=19990"
"42",41,"SIA/GJ/MIN/61036/2016","SUSKAL ORDINARY SAND MINING PROJECT","Non-Coal Mining","22 Dec 2016","22/12/2016","21/12/2016","22/12/2016","02/01/2017","","","05/01/2017","03/03/2017","21/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/61036/2016&type=EC&ID=33110"
"43",42,"SIA/GJ/NCP/61086/2016","Sanjay Rameshbhai Patel","INFRA-1","13 Dec 2016","13/12/2016","","","21/12/2016","","","23/12/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/61086/2016&type=EC&ID=33154"
"44",43,"SIA/GJ/MIN/61087/2016","Quartz Lease of Shri Sureshkumar Shantilal Shah","Non-Coal Mining","03 Jan 2017","03/01/2017","02/01/2017","03/01/2017","05/01/2017","","","11/01/2017","03/03/2017","21/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/61087/2016&type=EC&ID=33155"
"45",44,"SIA/GJ/IND2/22201/2018","M/s. Roha Dyechem Pvt. Ltd.","Industrial Projects - 2","31 Aug 2018","31/08/2018","","","14/09/2018","","","27/09/2018","25/02/2019","12/03/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/22201/2018&type=EC&ID=45449"
"46",45,"SIA/GJ/MIN/49786/2016","Project Details-Minor Minerals (Other Than Sand)@ LIMBALI (sr.no-SR.NO - 155/1 PAIKI - 1.00.00 hector -Building Lime Stone)","Non-Coal Mining","17 Feb 2016","17/02/2016","17/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49786/2016&type=EC&ID=13579"
"47",46,"SIA/GJ/MIN/2392/2015","Kamleshbhai Hardasbhai Khava","Non-Coal Mining","09 Oct 2015","09/10/2015","","","13/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2392/2015&type=EC&ID=13631"
"48",47,"SIA/GJ/MIN/52646/2016","M/S.Lime Stone Of Danabhai Meramanbhai Barad","Non-Coal Mining","08 Apr 2016","08/04/2016","11/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52646/2016&type=EC&ID=17208"
"49",48,"SIA/GJ/IND2/223588/2021","SRM Life Science Pvt. Ltd.","Industrial Projects - 2","05 Oct 2021","07/08/2021","","","24/08/2021","07/09/2021","05/10/2021","12/10/2021","02/02/2022","23/02/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/223588/2021&type=EC&ID=189895"
"50",49,"SIA/GJ/MIS/270270/2022","RAJHANS ZORISTA","INFRA-2","29 Apr 2022","29/04/2022","","","05/05/2022","","","25/05/2022","","07/10/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/270270/2022&type=EC&ID=202701"
"51",50,"SIA/GJ/MIN/33304/2015","Mining of Sand from Narmada Nadi Patt from the of Surendrasinh B Parmar","Non-Coal Mining","26 Nov 2015","26/11/2015","","","29/11/2015","","","30/11/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33304/2015&type=EC&ID=2755"
"52",51,"SIA/GJ/MIS/108464/2019","Kesar Exotica","INFRA-2","19 Jun 2019","19/06/2019","","","28/06/2019","","","04/07/2019","09/09/2019","03/10/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/108464/2019&type=EC&ID=56771"
"53",52,"SIA/GJ/MIS/130165/2019","Housing Colony of Torrent Pharmaceuticals Limited, Atali.","INFRA-2","07 Dec 2019","07/12/2019","","","16/12/2019","","","01/01/2020","09/06/2020","07/07/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/130165/2019&type=EC&ID=79058"
"54",53,"SIA/GJ/MIN/53190/2016","Naginbhai Mangabhai Bariya 
Ordinary Sand New Mining Project","Non-Coal Mining","26 Apr 2016","26/04/2016","27/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53190/2016&type=EC&ID=19629"
"55",54,"SIA/GJ/MIN/53207/2016","Vijaykumar Vinodray Popat","Non-Coal Mining","26 Apr 2016","26/04/2016","27/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53207/2016&type=EC&ID=19645"
"56",55,"SIA/GJ/MIN/53215/2016","M/s. Bansidhar Metals","Non-Coal Mining","27 Apr 2016","27/04/2016","28/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53215/2016&type=EC&ID=19651"
"57",56,"SIA/GJ/MIN/53224/2016","SHRADHHABEN PRAFULCHANDRA BHATT","Non-Coal Mining","27 Apr 2016","27/04/2016","27/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53224/2016&type=EC&ID=19660"
"58",57,"SIA/GJ/MIN/53226/2016","Chandreshbhai Dadubhai Babariya","Non-Coal Mining","27 Apr 2016","27/04/2016","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53226/2016&type=EC&ID=19662"
"59",58,"SIA/GJ/MIN/53249/2016","Satishbhai Naginbhai Modi (04-61-90)","Non-Coal Mining","27 Apr 2016","27/04/2016","28/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53249/2016&type=EC&ID=19683"
"60",59,"SIA/GJ/NCP/75676/2018","Dr. N. D. Desai Faculty Of Medical Science And Research","INFRA-1","10 Sep 2018","10/09/2018","30/08/2018","10/09/2018","19/09/2018","","","27/09/2018","11/01/2019","28/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75676/2018&type=EC&ID=44709"
"61",60,"SIA/GJ/MIN/49523/2016","KARSANBHAI DUNGARBHAI PATEL","Non-Coal Mining","15 Feb 2016","15/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49523/2016&type=EC&ID=13324"
"62",61,"SIA/GJ/MIN/49563/2016","MERAMBHAI KADVABHAI SOLANKI","Non-Coal Mining","15 Feb 2016","15/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49563/2016&type=EC&ID=13363"
"63",62,"SIA/GJ/MIN/49570/2016","Sahdevsinh Kanaksingh Sisodiya","Non-Coal Mining","15 Feb 2016","15/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49570/2016&type=EC&ID=13370"
"64",63,"SIA/GJ/MIN/40830/2016","jitendra","Non-Coal Mining","14 Jan 2016","14/01/2016","21/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40830/2016&type=EC&ID=9668"
"65",64,"SIA/GJ/MIN/32944/1900","Ghanshyamsinh Punjaji Vaghela","Non-Coal Mining","13 Mar 2019","13/03/2019","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/32944/1900&type=EC&ID=53881"
"66",65,"SIA/GJ/IND2/22312/2018","M/s. Siddharth Industries","Industrial Projects - 2","03 Feb 2022","09/07/2021","","","19/08/2021","27/10/2021","03/02/2022","03/02/2022","","08/12/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/22312/2018&type=EC&ID=53954"
"67",66,"SIA/GJ/MIN/41097/2016","MANOJ P. SOLANKI (MAMUARA)","Non-Coal Mining","16 Jan 2016","16/01/2016","","","21/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41097/2016&type=EC&ID=9924"
"68",67,"SIA/GJ/IND2/153083/2020","M/s. Cyclo Fine Chem","Industrial Projects - 2","04 Jun 2020","14/05/2020","01/06/2020","04/06/2020","08/06/2020","","","25/07/2020","31/03/2021","18/03/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/153083/2020&type=EC&ID=104734"
"69",68,"SIA/GJ/NCP/80305/2018","Hospital","INFRA-1","26 Sep 2018","26/09/2018","","","03/10/2018","","","04/10/2018","01/02/2019","29/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/80305/2018&type=EC&ID=45921"
"70",69,"SIA/GJ/IND2/21716/2018","-1","Industrial Projects - 2","27 Sep 2018","27/09/2018","","","03/10/2018","05/10/2018","05/10/2018","20/10/2018","04/04/2019","04/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/21716/2018&type=EC&ID=45938"
"71",70,"SIA/GJ/MIN/50311/2016","Jagrutiben Ramanbhai Patel","Non-Coal Mining","23 Feb 2016","23/02/2016","24/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50311/2016&type=EC&ID=14168"
"72",71,"SIA/GJ/MIN/50319/2016","RAKESHBHAI GEMABHAI OAD","Non-Coal Mining","23 Feb 2016","23/02/2016","24/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50319/2016&type=EC&ID=14176"
"73",72,"SIA/GJ/MIN/50345/2016","Jivabhai Samatbhai Keshwala","Non-Coal Mining","24 Feb 2016","24/02/2016","25/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50345/2016&type=EC&ID=14201"
"74",73,"SIA/GJ/MIN/33272/2015","SAMAY BRICKS","Non-Coal Mining","26 Nov 2015","26/11/2015","","","29/11/2015","","","30/11/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33272/2015&type=EC&ID=2723"
"75",74,"SIA/GJ/MIN/35763/2015","KAMAL BRICKS","Non-Coal Mining","23 Dec 2015","23/12/2015","","","28/12/2015","","","29/12/2015","04/05/2016","18/04/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35763/2015&type=EC&ID=4919"
"76",75,"SIA/GJ/NCP/56584/2016","42 Parkview","INFRA-1","02 Jul 2016","02/07/2016","30/06/2016","02/07/2016","04/07/2016","","","27/07/2016","","18/02/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/56584/2016&type=EC&ID=22719"
"77",76,"SIA/GJ/NCP/2235/2015","Nareshbhai Babariya","INFRA-1","17 Sep 2015","17/09/2015","","","19/09/2015","","","28/09/2015","","31/05/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/2235/2015&type=EC&ID=22740"
"78",77,"SIA/GJ/IND2/16476/2015","M/s. Chorus Pharmachem Pvt. Ltd.","Industrial Projects - 2","23 Jun 2016","23/06/2016","","","30/06/2016","","","02/07/2016","24/03/2017","24/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/16476/2015&type=EC&ID=22759"
"79",78,"SIA/GJ/MIN/56647/2016","Govindbhai Nanabhai Machhi","Non-Coal Mining","24 Jun 2016","24/06/2016","30/06/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/56647/2016&type=EC&ID=22784"
"80",79,"SIA/GJ/MIN/49369/2016","Nareshbhai N Od","Non-Coal Mining","14 Feb 2016","14/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49369/2016&type=EC&ID=13170"
"81",80,"SIA/GJ/MIN/49380/2016","M/s. Dhara Minerals and Mines (Bamroli)","Non-Coal Mining","02 Jan 2017","02/01/2017","02/01/2017","02/01/2017","03/01/2017","05/01/2017","05/01/2017","11/01/2017","03/03/2017","21/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49380/2016&type=EC&ID=13181"
"82",81,"SIA/GJ/MIN/49396/2016","Sona Construction C/o. Sapariya Mayur J.","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49396/2016&type=EC&ID=13197"
"83",82,"SIA/GJ/MIN/49397/2016","Kalapi Construction C/o. Sapariya Mayur J.","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49397/2016&type=EC&ID=13198"
"84",83,"SIA/GJ/MIN/49405/2016","Jadeja Shilduttsinh Lakhubha","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49405/2016&type=EC&ID=13206"
"85",84,"SIA/GJ/MIN/32040/2015","AMRUT QUARRY  C/O JAYESH PATEL 974/26","Non-Coal Mining","22 Oct 2015","22/10/2015","28/10/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/32040/2015&type=EC&ID=1649"
"86",85,"SIA/GJ/MIN/2510/2015","Blacktrap mining of Jayesh Bhimji Hirani","Non-Coal Mining","28 Sep 2015","28/09/2015","","","","","","","23/12/2015","21/12/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2510/2015&type=EC&ID=5421"
"87",86,"SIA/GJ/MIN/36304/2015","Black Trap Mine of Hareshbhai Nathabhai Solanki","Non-Coal Mining","05 Jan 2016","05/01/2016","30/12/2015","05/01/2016","05/01/2016","","","06/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/36304/2015&type=EC&ID=5476"
"88",87,"SIA/GJ/IND2/165157/2020","Proposed Bulk Drug & Drug Intermediates in Existing Unit (Shree Chemopharma Ankleshwar Pvt. Ltd. (Unit-1))","Industrial Projects - 2","25 Jul 2020","25/07/2020","","","10/08/2020","","","05/09/2020","07/07/2021","18/03/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/165157/2020&type=EC&ID=117510"
"89",88,"SIA/GJ/MIS/165317/2020","EWS II Housing","INFRA-2","27 Jul 2020","27/07/2020","","","10/08/2020","","","23/08/2020","","19/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/165317/2020&type=EC&ID=118544"
"90",89,"SIA/GJ/MIN/40600/2016","Rathod Khushalsinh Kansinh","Non-Coal Mining","13 Jan 2016","13/01/2016","","","18/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40600/2016&type=EC&ID=9457"
"91",90,"SIA/GJ/MIN/49627/2016","Somlubhai Devubhai Bhusara","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49627/2016&type=EC&ID=13426"
"92",91,"SIA/GJ/MIN/49636/2016","Rakeshbhai Bhagubhai Patel","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49636/2016&type=EC&ID=13435"
