,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
503,SIA/JH/INFRA2/418578/2023,Proposed Commercial Project Ranchi Smart City,INFRA-2,20 Feb 2023,16/02/2023,17/02/2023,20/02/2023,22/02/2023,,,13/03/2023,,31/03/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/418578/2023&type=EC&ID=216585
504,SIA/JH/MIN/447306/2023,Mansinghpur Stone Mine (Area – 2.35 Ha or 5.81 Acre),Non-Coal Mining,08 Oct 2023,06/10/2023,06/10/2023,08/10/2023,08/10/2023,,,08/10/2023,,29/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/447306/2023&type=EC&ID=226469
505,SIA/JH/MIN/77130/2018,"M/s  J.S.M.D.C.Ltd  located  at  Khata No.- 16, Plot  No.- 1(P),  Village – Barano,  Block- Chalkusha, Thana- Chalkusha  (Barkatha),Thana  no. - 21,  District- Hazaribagh, Jharkhand.",Non-Coal Mining,08 Nov 2018,08/11/2018,08/10/2018,08/11/2018,08/11/2018,,,08/11/2018,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/77130/2018&type=EC&ID=45444
506,SIA/JH/MIS/184650/2020,Smart Township Project,INFRA-2,28 Feb 2022,24/11/2020,10/02/2022,28/02/2022,28/02/2022,,,01/03/2022,15/03/2022,22/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/184650/2020&type=EC&ID=144191
507,SIA/JH/MIN/42342/2019,M/S T.S. Bricks,Non-Coal Mining,05 Sep 2019,05/09/2019,15/10/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/42342/2019&type=EC&ID=63208
508,SIA/JH/MIN/188501/2020,‘’Sahargram stone Mine’’ by M/S GURU SISAYA STONE WORKS Partner’s Shri Maheshwar Saha and Shri Abul Hossain,Non-Coal Mining,15 Jun 2021,18/12/2020,10/06/2021,15/06/2021,18/06/2021,,,26/06/2021,08/07/2021,15/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/188501/2020&type=EC&ID=148107
509,SIA/JH/MIN/41202/2019,Insha Stone Works,Non-Coal Mining,19 Sep 2019,19/09/2019,13/09/2019,19/09/2019,01/10/2019,,,05/10/2019,22/10/2019,26/10/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/41202/2019&type=EC&ID=61481
510,SIA/JH/MIN/77868/2018,Khokha sand mining project ,Non-Coal Mining,28 Jan 2019,28/01/2019,16/01/2019,28/01/2019,28/01/2019,,,01/03/2019,25/08/2021,14/05/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/77868/2018&type=EC&ID=45523
511,SIA/JH/MIN/20123/2017,"Jhillingburu-11 Iron & Manganese Ore Mining Project of Gua Ore Mines of M/s Steel Authority of India Ltd, District Singhbhum West, Jharkhand- Prescribing of TOR- Regarding",Non-Coal Mining,20 Jan 2018,20/01/2018,09/01/2018,20/01/2018,29/01/2018,,,04/04/2018,15/10/2018,10/12/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/20123/2017&type=EC&ID=38408
512,SIA/JH/INFRA2/422229/2023,Proposed Residential Cum Commercial Complex “Faii Residency” ,INFRA-2,18 Mar 2023,16/03/2023,16/03/2023,18/03/2023,18/03/2023,,,18/03/2023,,11/09/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/422229/2023&type=EC&ID=217691
