,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
2,732,SIA/UK/MIS/253612/2022,EC-09(09)/2022,"Environmental Clearance for proposed establishment of 200 TPH Stone Crusher Plant along with DG set by Uttaranchal Stone Crusher (LLP) at Khasra No. 230 Ka Mi, 230 Ka, 223 Ka Mi, 223 Mi, 225, 226, 227 Ka, 230 Ka, Village Abdulapur Kenchiwala, Sahaspu",UTTARANCHAL STONE CRUSHER LLP,EC Granted,EC,
3,733,SIA/UK/NCP/41176/2019,E.C- 09(42)/2019,Environment Clearance for installation of DG Sets and Enhancement of Man power along with painting facility for Passenger Motor Car Service Centre in the existing complex by M/s Divine Automotives Pri,DIVINE AUTOMOTIVES PRIVATE LIMITED,Under examination of SEAC manually process,EC,
4,734,SIA/UK/MIS/150302/2020,,"Environmental Clearance for Proposed Construction of Wellness Centre By M/s Punarnava Yog Foundation located at Naliyana Village, Bhitarli, Kimadi, Lambidhar Road, Mussoorie, Dehradun, Uttarakhand",M/S PUNARNAVA YOG FOUNDATION,Delisted,EC,
5,735,SIA/UK/MIS/221984/2021,EC-08(43)/2021,Group Housing Project,BRAZEN ARROW COMPANY PVT. LTD.,Delisted,EC,
6,736,SIA/UK/MIN/190909/2021,EC-01(198)/2021,Syalsi RBM Project,JAGMOHAN SINGH CHAUHAN,EC Granted,EC,
7,737,SIA/UK/MIN/41783/2019,E.C- 01(104)/2019,Char RBM Mining Project,CHAR MINING PROJECT,Under examination of SEAC manually process,EC,
8,738,SIA/UK/NCP/124680/2019,EC-9(47)/2019,Environmental Clearance for Proposed Installation of Hot Mix Plant For M/s M. G. Contractors Pvt. Ltd.,M G CONTRACTORS PVT LTD,Under examination of SEIAA after SEAC,EC,
9,739,SIA/UK/NCP/93282/2019,E.C- 8(10)/2019,Rajiv Gandhi International Cricket Stadium & Sports Complex,RAJIV GANDHI INTERNATIONAL CRICKET STADIUM AND SPORTS COMPLEX,Under examination of SEAC manually process,EC,
10,740,SIA/UK/IND1/445181/2023,EC-09(81)/2023,ALMED PRINTING SOLUTIONS PRIVATE LIMITED,ALMED PRINTING SOLUTIONS PRIVATE LIMITED,Rejected by SEAC,EC,
1,741,SIA/UK/NCP/29310/2017,E.C 8(13)/2019,"Group Housing project at Avas Vikas Parishad Housing Colony, Veerbhadra Marg Yojna, Rishikesh",SUNRISE TECHNOBUILD LLP,Under examination of SEAC,EC,
2,742,SIA/UK/IND3/422962/2023,EC-09(39)/2023,WELLMIND NUTRACEUTICALS PVT. LTD.,WELLMIND NUTRACEUTICALS PRIVATE LIMITED,EC Granted,EC,
3,743,SIA/UK/MIN/34227/2015,1-(772)/2015,M/s Salaudeen,SALAHUDDIN,EC  has been Granted Manually,EC,
4,744,SIA/UK/INFRA2/415740/2023,EC-08(09)/2023,GUPTA JEE TENT SERVICES PVT LTD,GUPTA JEE TENT SERVICES PRIVATE LIMITED,EC Granted,EC,
5,745,SIA/UK/MIN/55294/2016,,"PROPOSED DIGGING/EXCAVATION OF BRICK EARTH FOR BRICK MANUFACTURING FROM
 LEASE AREA- 3.019 Ha AT VILLAGE- HARIPUR ROAD MASEET, 
TEHSIL- GADARPUR, DISTRICT- U.S. NAGAR, UTTARAKHAND.",GURUNANAK BRICK FIELD BY SHRI SHER CHAND,Delisted,EC,
6,746,SIA/UK/MIN/31092/2015,E.C 1-(754)/2015,"Badeu Boulder Mine Project, Pithoragarh",OVERSEAS MINTECH CONSULTANT PVT LTD,EC  has been Granted Manually,EC,
7,747,SIA/UK/IND2/48992/2016,E.C- 9(65)/2016,"M/S PUREGANIC HEALTH CARE
at Khasra No-44A, Mauza-
Kuanwala, Tehsil & District
Dehradun, Uttarakhand",PUREGANIC HEALTH CARE,EC  has been Granted Manually,EC,
8,748,SIA/UK/MIN/58637/2016,,"Proposed Soapstone Mine at village- Chiphalete Pli Chak Titoli, Tehsil - Kanda, District- Bageshwar. Uttarakhand. (Area : 4.822 ha.) by Shri Umesh Chandra Pande",PROPOSED SOAPSTONE MINE VILLAGE CHIPHALETE PALI CHAK TITOLI TEHSIL KANDA DISTRICT BAGESHWAR UTTARAKHAND,Delisted,EC,
9,749,SIA/UK/MIN/89479/2018,E.C   -1(43)/2019,"Soapstone Mining Project”, Area of 3.744 Hac. to Sri. Diwan Singh Rautela, S/o Sri Visan Singh Rautela, Maithara, Post- Bhatoda, Bageswar; Smt. Durga Dhapola, W/o Pankaj Kumar Dhapola; Sri Pankaj Kumar Dhapola, S/o Bahadur Singh Dhapola, Dhapoli, Pos",DIWAN SINGH RAUTELA,Under examination of SEAC manually process,EC,
10,750,SIA/UK/IND3/443550/2023,EC-09(77)/2023,Mancare Laboratories Pvt. Ltd.,MANCARE LABORATORIES PRIVATE LIMITED,EC Granted,EC,
1,751,SIA/UK/MIS/84966/2018,E.C  -8(04)/2018,KATYANI ASSOCIATES,KATYANI ASSOCIATES,EC Granted,EC,
2,752,SIA/UK/MIN/439944/2023,EC-01(06)/2023,"MINOR MINERAL (SAND, BAJRI AND BOULDER) FROM THE RIVER BED OF DABKA RIVER",UTTRAKHAND VAN VIKAS NIGAM,EC Granted,EC,
3,753,SIA/UK/MIS/42439/2016,E.C- 8(60)/2016,"Construction of Proposed District Court Complex at Village-Uddiwala Karanpur, Pargana-Central Doon, Haridwar Road, Tehsil & District- Dehradun, Uttarakhand.",MS NBCC,EC  has been Granted Manually,EC,
4,754,SIA/UK/IND2/86497/2018,E.C  -9(08)/2018,"Environmental Clearance for Proposed Installation of Green insulated DG Set and Enhancement of Man Power in the existing Complex to manufacture Shoe Soles, Footwear& Parts thereof (Capacity – 86.10 Lac pairs/Annum)",SOL TEC,Under examination of SEAC manually process,EC,
5,755,SIA/UK/MIN/32305/2015,E.C 1-(782)/2015,"Proposed Paily Soapstone Mine, Area - 4.8 Ha. At Village - Paily, District - Almora, Uttarakhand",UTTARANCHAL GRAMIN VIKAS SAMITI PAILY SOAPSTONE MINE AT VILLAGE PAILY DISTRICT ALMORA UTTARAKHAND,EC  has been Granted Manually,EC,
6,756,SIA/UK/MIN/87194/2018,E.C  -1(23)/2018,Mahadev Singh Gangari (Matali-2),MAHADEV SINGH GANGARI,Under examination of SEAC manually process,EC,
7,757,SIA/UK/MIN/90490/2019,E.C- 1(63)/2019,"M/s Gucheti Mines Partner, soapstone projects",GUCHETI MINES,Under examination of SEAC manually process,EC,
8,758,SIA/UK/IND/30712/2015,1-(747)/2015,"M/s. Intacto
Manufacturing of Pharmaceutical 
Formulations",INTACTO,EC  has been Granted Manually,EC,
9,759,SIA/UK/MIN/405838/2022,EC-01(40)/2023,"Proposed Soapstone Mine (Area 3.77 ha) at Village Mahat Gaon, Tehsil & District Bageshwar, Uttarakhand by Shri Kailash Chand Joshi",SOAPSTONE MINE,For further consideration(SEAC),EC,
10,760,SIA/UK/INFRA2/444917/2023,EC-08(38)/2023,"Proposed group housing project by  Mr.  Amit  Agarwal  and  Mr.  Anuj  Agarwal  both  s/o  late  Sh.  Naveen  Aggarwal, situated at Tarla  Nagal  Pargana  Parwadoon  ,  Tehsil  Sadar District. Dehradun, Uttarakhand",ANUJ AGGARWAL,EC Granted,EC,
1,761,SIA/UK/IND2/453274/2023,EC-05(03)/2023,"Proposed expansion of Sugar unit from 6250 TCD to 8000 TCD without change in existing co gen power capacity – 26.0 MW existing industry premises at village- Dahiyaki, Khundi, Kulchandi, Mundiaki, Tehsil-Roorkee & District– Haridwar, Uttarakhand",UTTAM SUGAR MILLS LIMITED,Under examination of SEIAA after SEAC,EC,
2,762,SIA/UK/MIN/30685/2015,1-(753)/2015,Vinita Singh,VINITA SINGH,Accepted By SEAC,EC,
3,763,SIA/UK/IND2/28863/2017,,"Construction of additional tankage for ethanol (2x1000 KL) and biodiesel (1x1200 KL) at Roorkee Terminal, Plot no. 4, UASIDC Landhora Industrial Area, Roorkee, District Haridwar, Uttarakhand",INDIAN OIL CORPORTION LTD MARKETING DIVISION UPSOII,Pending at PP due to eds,EC,
4,764,SIA/UK/INFRA2/427038/2023,EC-09(42)/2023,"Environmental Clearance for Proposed Enhancement in Production Capacity of Manufacture of Flip Flop i.e Slippers, Sandals  and Parts thereof in the existing Complex",SOL TEC,EC Granted,EC,
5,765,SIA/UK/INFRA2/426299/2023,EC-09(44)/2023,Environmental Clearance for Proposed expansion of manufacturing of Shoe component in the existing Complex by M/s Fabsol (A Unit of Mochiko Shoes Pvt. Ltd.),FABSOL,EC Granted,EC,
6,766,SIA/UK/MIN/30720/2015,1-(749)/2015,"Prior Environmental Clearance for Proposed Extraction / Collection of Sand, Bajri & Boulders from Kosi River Bed (Mining Lease Area- 1.026 Hectare) at Village– Sethi Bhandar (Sethi Majhgaon Sethi Dharkot), Tehsil – Betalghat, District – Nainital, Ut",DIVYA PRAKASH RAWAT,EC  has been Granted Manually,EC,
7,767,SIA/UK/IND2/87700/2018,E.C  -5(01)/2018,"Environment Clearance for change in location of existing PU Foam manufacturing and seat assembly unit from plot no. 35, Sector-4 to Plot no. 11, Sector-10  SIDCUL, IIE Pantnagar, Rudrapur Distt.-U.S. Nagar by M/s Harita Seating Systems Limited.",HARITA SEATING SYSTEMS LIMITED,Under examination of SEAC manually process,EC,
8,768,SIA/UK/IND3/420264/2023,EC-09(33)/2023,UTHIKA LABORATORIES PRIVATE LIMITED,UTHIKA LABORATORIES PRIVATE LIMITED,EC Granted,EC,
9,769,SIA/UK/IND2/48992/2016,E.C- 9(65)/2016,"M/S PUREGANIC HEALTH CARE
at Khasra No-44A, Mauza-
Kuanwala, Tehsil & District
Dehradun, Uttarakhand",PUREGANIC HEALTH CARE,EC  has been Granted Manually,EC,
10,770,SIA/UK/MIN/58637/2016,,"Proposed Soapstone Mine at village- Chiphalete Pli Chak Titoli, Tehsil - Kanda, District- Bageshwar. Uttarakhand. (Area : 4.822 ha.) by Shri Umesh Chandra Pande",PROPOSED SOAPSTONE MINE VILLAGE CHIPHALETE PALI CHAK TITOLI TEHSIL KANDA DISTRICT BAGESHWAR UTTARAKHAND,Delisted,EC,
1,771,SIA/UK/MIN/89479/2018,E.C   -1(43)/2019,"Soapstone Mining Project”, Area of 3.744 Hac. to Sri. Diwan Singh Rautela, S/o Sri Visan Singh Rautela, Maithara, Post- Bhatoda, Bageswar; Smt. Durga Dhapola, W/o Pankaj Kumar Dhapola; Sri Pankaj Kumar Dhapola, S/o Bahadur Singh Dhapola, Dhapoli, Pos",DIWAN SINGH RAUTELA,Under examination of SEAC manually process,EC,
2,772,SIA/UK/IND3/443550/2023,EC-09(77)/2023,Mancare Laboratories Pvt. Ltd.,MANCARE LABORATORIES PRIVATE LIMITED,EC Granted,EC,
3,773,SIA/UP/IND3/226905/2021,No Increase Pollution Load,SARVEAR PHARMACEUTICALS UA,SARVEAR PHARMACEUTICALS UA,,NIPL,
4,774,SIA/UP/IND/300923/2023,No Increase Pollution Load,Proposed Expansion in Cement production capacity of existing standalone Clinker Grinding Unit from 2.0 to 2.5 Million TPA by UltraTech Cement Ltd Unit Roorkee Cement Works,M/s. UltraTech Cement Ltd.,,NIPL,
5,775,SIA/UP/IND3/218289/2021,No Increase Pollution Load,ESTER INDUSTRIES LTD.,ESTER INDUSTRIES LTD.,,NIPL,
6,776,SIA/UP/IND2/284952/2022,No Increase Pollution Load,Proposed Change in Raw Material Mix and Enhancement in Production Capacity by Distillery Unit of Uttam Sugars Mills Ltd. at Village Libberheri District Hardwar,UTTAM SUGAR MILLS LIMITED,,NIPL,
7,777,SIA/UP/IND/302812/2023,No Increase Pollution Load,Proposed Expansion in Cement production capacity of existing standalone Clinker Grinding Unit from 2.0 to 2.5 MTPA along with change of product mix for manufacturing of OPC and PPC Cement,M/s. UltraTech Cement Ltd.,,NIPL,
