,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
373,SIA/UK/MIN/33624/2015,1-(773)/2015,Extraction / collection of Sand/Bajri/Boulder for samtalikaran purpose ,Uttarakhand,Tehri Garhwal,Devprayag,Date of Submission for TOR: ,Date of Submission for EC: 02 Dec 2015 ,Non-Coal Mining,VIJAY MOHAN,EC  has been Granted Manually,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/33624/2015&pid=3003,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/33624/2015&type=EC&ID=3003
374,SIA/UK/MIN/90355/2019,E.C- 1(58)/2019,M/s Jai Badri Kedar Soapstone ,Uttarakhand,Chamoli,Chamoli,Date of Submission for TOR: ,Date of Submission for EC: 03 Jan 2019 ,Non-Coal Mining,JAI BADRI,Under examination of SEAC manually process,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/90355/2019&pid=51472,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/90355/2019&type=EC&ID=51472
375,SIA/UK/MIN/50440/2016,"E.C No-896-1-(860)/2016
Dated- 1.3.2016","Environmental Clearance for the Proposed Digging / Excavation of Minor
Minerals i.e. “Brick Earth” for Brick manufacturing from lease area of
Village Kuraiya (4.352 Hectare) by M/s Chand Brick Udyog, Chakauni
Kuraiya, Tehsil – Kichha, District, Ud",Uttarakhand,Udham Singh Nagar,Kichha,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2016 ,Non-Coal Mining,CHAND BRICK UDYOG,EC  has been Granted Manually,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/50440/2016&pid=14286,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/50440/2016&type=EC&ID=14286
376,SIA/UK/IND3/421952/2023,EC-09(35)/2023,"Proposed manufacturing plant of Reprocessed Plastic Granules with capacity 1200 Tons Per Annum by M/S T C Plastics located at Khasra 1/1/1 min mauza, central Hopetown, Pargana Pachawadun, Tehsil Vikas Nagar, Dehradun",Uttarakhand,,,Date of Submission for EC: 14 Mar 2023 ,Date of Ec Granted : 15 Apr 2023,Industrial Projects - 3,DALIP SOLANKI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/IND3/421952/2023&pid=217584,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/421952/2023&type=EC&ID=217584
377,SIA/UK/MIN/80329/2018,-1(04)/2018,"Soapstone Deposit, Lease area 8.498 ha, village-Nagkanyal-Kandekanyal, Tehsil Kanda, Dist-Bageshwar, state uttarakhand",Uttarakhand,Bageshwar,Kanda,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2018 ,Non-Coal Mining,DEEP CHANDRA,Under examination of SEAC manually process,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/80329/2018&pid=45926,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/80329/2018&type=EC&ID=45926
378,SIA/UK/IND3/83132/2022,IA-J-11011/460/2022-IA-II(I),UTHIKA LABORATORIES PRIVATE LIMITED,,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Oct 2022 ,Industrial Projects - 3, UTHIKA LABORATORIES PRIVATE LIMITED,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/IND3/83132/2022&pid=211875,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/83132/2022&type=EC&ID=211875
379,SIA/UK/MIN/60473/2016,,PapoliLaggakafli & Odiyar Soapstone Deposit,Uttarakhand,Bageshwar,Bageshwar,Date of Submission for TOR: ,Date of Submission for EC: 17 Nov 2016 ,Non-Coal Mining,MS OVERSEAS MIN TECH CONSULTANTS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/60473/2016&pid=32742,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/60473/2016&type=EC&ID=32742
380,SIA/UK/MIN/87183/2018,E.C  -1(22)/2018,Bhagdeyi Gangari (Matali-1),Uttarakhand,Uttarkashi,Dunda,Date of Submission for TOR: ,Date of Submission for EC: 30 Nov 2018 ,Non-Coal Mining,BHAGDEYI GANGARI,Under examination of SEAC manually process,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/87183/2018&pid=48898,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/87183/2018&type=EC&ID=48898
381,SIA/UK/MIN/30707/2015,1-(748)/2015,"Extraction/collection of Minor Minerals i.e. Stone/Bajri/ Boulder (Kh. No. – 2461 to 2464, 2466 to 2485; 2496 to 2499, 2500 to 2504, 2545 to 2546, 2548, 2516 & 2488, M.L. Area – 0.487 Ha near Koti Gad Gadera) at Village Manjoli, Patti Juwa Udaipur, T",Uttarakhand,Tehri Garhwal,Dhanaulti,Date of Submission for TOR: ,Date of Submission for EC: 05 Sep 2015 ,Non-Coal Mining,SURENDRA SINGH,EC  has been Granted Manually,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/30707/2015&pid=793,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/30707/2015&type=EC&ID=793
382,SIA/UK/MIN/445566/2023,EC-01(63)/2023,"Proposed Soapstone Mine (Area = 4.657 ha.) at Village Banoli, Tehsil Berinag, & District Pithoragarh, Uttarakhand by Shri Chamu Singh Negi. ",Uttarakhand,,,Date of Submission for EC: 23 Sep 2023 ,Date of Ec Granted : 06 Jan 2024,Non-Coal Mining,CHAMU NEGI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/445566/2023&pid=225542,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/445566/2023&type=EC&ID=225542
