,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
600,SIA/OR/MIN/245161/2021,245161/130-MINB2/12-2021,Orissa,Kendujhar,Ghatgaon,Date of Submission for EC: 16 Dec 2021 ,Date of Ec Granted : 03 Jan 2022,Non-Coal Mining,M/S SRI VENKATESWAR CONSTRUCTIONS,EC Granted
601,SIA/OR/MIN/245641/2021,245641/176-MINB2/01-2022,Orissa,Ganjam,Chhatrapur,Date of Submission for EC: 07 Jan 2022 ,Date of Ec Granted : 06 Apr 2022,Non-Coal Mining,TAHASILDAR CHIKITI,EC Granted
602,SIA/OR/MIS/30609/2017,,Orissa,Puri,Brahmagiri,Date of Submission for TOR: ,Date of Submission for EC: 03 Jan 2019 ,INFRA-2,DEPARTMENT OF TOURISM GOVERNMENT OF ODISHA,Delisted
603,SIA/OR/IND2/22578/2018,22578/245-IND2/03-2018,Orissa,Sambalpur,Kochinda,Date of Submission for EC: 22 Mar 2018 ,Date of Ec Granted : 31 Aug 2018,Industrial Projects - 2,DINESH PR SAHU,EC Granted
604,SIA/OR/MIN/403548/2022,403548/766-MINB1/10-2022,Orissa,Sundargarh,,Date of Submission for TOR: ,Date of Submission for EC: 31 Oct 2022 ,Non-Coal Mining,RUNGTA MINES LTD,Awaiting EC
605,SIA/OR/MIN/290960/2022,290960/828-MINB2/11-2022,Orissa,Jharsuguda,Lakhanpur,Date of Submission for EC: 03 Nov 2022 ,Date of Ec Granted : 07 Feb 2023,Non-Coal Mining,BISWAKESAN PANDEY,EC Granted
606,SIA/OR/MIN/63540/2021,63540/791-MINB1/02-2023,Orissa,Anugul,Talcher Sadar,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2023 ,Non-Coal Mining,SHERANWALI INFRASTRUCTURE PRIVATE LIMITED,ADS by SEAC
607,SIA/OR/MIN/228016/2021,228016/60-MINB2/11-2021,Orissa,Khordha,Khordha,Date of Submission for EC: 12 Nov 2021 ,Date of Ec Granted : 29 Dec 2021,Non-Coal Mining,SHRI KAILASHA CHANDRA PARIJA,EC Granted
608,SIA/OR/MIN/244960/2021,244960/123-MINB2/12-2021,Orissa,Baleshwar,balasoresadar,Date of Submission for TOR: ,Date of Submission for EC: 14 Dec 2021 ,Non-Coal Mining,SRI RANJAN KUMAR PATTNAIK,Delisted
609,SIA/OR/MIN/247298/2021,,Orissa,Sundargarh,Raghunathapali,Date of Submission for TOR: ,Date of Submission for EC: 25 Dec 2021 ,Non-Coal Mining,PANPOSHTAHASIL,Delisted
610,SIA/OR/MIN/268137/2022,268137/263-MINB2/04-2022,Orissa,Kendujhar,Champua,Date of Submission for EC: 16 Apr 2022 ,Date of Ec Granted : 30 Jun 2022,Non-Coal Mining,ISWAR BADAPANDA,EC Granted
611,SIA/OR/MIN/75972/2020,75972/288-MINB2/04-2022,Orissa,Jajpur,Dharmasala,Date of Submission for EC: 21 Apr 2022 ,Date of Ec Granted : 17 Jan 2023,Non-Coal Mining,AJIT SAHU,EC Granted
612,SIA/OR/MIN/76052/2020,76052/285-MINB2/04-2022,Orissa,Jajpur,Dharmasala,Date of Submission for TOR: ,Date of Submission for EC: 22 Apr 2022 ,Non-Coal Mining,RASHMI PANDA,Deferred by SEIAA
613,SIA/OR/MIS/288962/2022,288962/99-MIS/08-2022,Orissa,Cuttack,Dampada,Date of Submission for TOR: ,Date of Submission for EC: 17 Aug 2022 ,INFRA-2,SULAKSHYANA DAS,Deferred by SEAC
614,SIA/OR/MIN/54830/2020,54830/197-MINB1/02-2022,Orissa,Cuttack,Cuttack Sadar,Date of Submission for EC: 07 Feb 2022 ,Date of Ec Granted : 07 Jun 2022,Non-Coal Mining,CHINMAYEE MUDULI,EC Granted
615,SIA/OR/MIN/285187/2022,285187/380-MINB2/07-2022,Orissa,Khordha,Tangi,Date of Submission for EC: 25 Jul 2022 ,Date of Ec Granted : 05 Nov 2022,Non-Coal Mining,"TAHASILDAR, TANGI",EC Granted
616,SIA/OR/MIN/286629/2022,286629/402-MINB2/08-2022,Orissa,Debagarh,Barkot,Date of Submission for EC: 04 Aug 2022 ,Date of Ec Granted : 22 Sep 2022,Non-Coal Mining,TAHASILDAR BARKOTE,EC Granted
617,SIA/OR/MIN/285240/2022,,,,,Date of Submission for TOR: ,Date of Submission for EC: 24 Aug 2022 ,Non-Coal Mining,M/S. PREMEX,Delisted
618,SIA/OR/IND/167950/2020,167950/12-IND/08-2020,Orissa,Jajpur,Sukinda,Date of Submission for EC: 14 Aug 2020 ,Date of Ec Granted : ,Industrial Projects - 1,CHROME SAGAR,EC Granted
619,SIA/OR/MIN/265440/2022,265440/647-MINB1/04-2022,Orissa,Jajpur,Dharmasala,Date of Submission for EC: 01 Apr 2022 ,Date of Ec Granted : 02 Jun 2022,Non-Coal Mining,NIRANJAN ROUT,EC Granted
620,SIA/OR/MIN/268326/2022,268326/706-MINB2/04-2022,Orissa,Malkangiri,Kalimela,Date of Submission for TOR: ,Date of Submission for EC: 18 Apr 2022 ,Non-Coal Mining,TAHASILDAR  KALIMELA,Delisted
621,SIA/OR/MIS/198076/2021,198076/33-MIS/02-2021,Orissa,Khordha,Bhubaneswar,Date of Submission for EC: 22 Feb 2021 ,Date of Ec Granted : ,INFRA-2,M/S LUXURIO ASSETS PVT LTD,EC Granted
622,SIA/OR/IND2/22646/2018,22646/262-IND2/03-2018,Orissa,Nuapada,Komana,Date of Submission for EC: 26 Mar 2018 ,Date of Ec Granted : 31 Aug 2018,Industrial Projects - 2,RITESHSAHU,EC Granted
623,SIA/OR/MIN/406640/2022,406640/896-MINB2/03-2023,Orissa,Gajapati,,Date of Submission for TOR: ,Date of Submission for EC: 11 Mar 2023 ,Non-Coal Mining,PURNA NAYAK,Accepted by SEIAA and forwarded to SEAC
624,SIA/OR/NCP/61411/2016,,Orissa,Puri,Sadar,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2016 ,INFRA-1,DEPARTMENT OF TOURISM GOVERNMENT OF ODISHA,Delisted
625,SIA/OR/MIN/67421/2017,67421/1904-NCM/08-2017,Orissa,Mayurbhanj,Barsahi,Date of Submission for TOR: ,Date of Submission for EC: 14 Aug 2017 ,Non-Coal Mining,SUSANTA KUMAR NAYAK,Delisted
