,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type
5,25,SIA/OR/MIN/227398/2021,227398/20-MINB2/09-2021,KALACHUA NEW BUILDING STONE QUARRY (TA),SHRI DILIP KUMAR JENA,EC Granted,EC
6,26,SIA/OR/MIN/251975/2022,251975/200-MINB2/01-2022,Deokundi Stone Quarry Over an area of 5.10 Acre or 2.064 Hectares in village Deokundi under Jamda Tahasil of Mayurbhanj District of Odisha.,TAHASILDARJAMDAMAYURBHANJ,EC Granted,EC
7,27,SIA/OR/MIS/252928/2022,252928/72-MIS/01-2022,"Proposed housing Project for Environment Clearance for (S+11) storied Residential building plan at- Sambalpur Town Unit No.-15, Ainthapali, Thana: Sambalpur No-12, Tahasil: Sambalpur No.- 239, District: Sambalpur, Odisha.",M/S BALAJI BUILDERS AND DEVELOPERS,Deferred by SEAC,EC
8,28,SIA/OR/MIN/77232/2020,77232/291-MINB2/05-2022,"For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.of Jajpur District, Odisha.",TAHASILDAR DHARMASLA (ON BEHALF OF SUCCESSFUL BIDDER),EC Granted,EC
9,29,SIA/OR/MIN/77195/2020,,"For the grant of EC of Sahanidiha Black Stone quarry No-01 (Cluster Serial No-8/1), (Khata No-384, Plot No-50(p)) over an area of  acres or  3.035 hacters in village Sahanidiha under Dharmasala Tahasil of Jajpur District, Odisha.",RAM NIWAS,Delisted,EC
10,30,SIA/OR/MIN/68119/2020,68119/150-MINB1/10-2021,"Environmental Clearance for Sand Mining(12000 Cum/annum) over Nuapalli Sand Quarry (ML area 19.44 acres or 7.867 ha) in village Nuapalli  under Bhapur Thasil of Nayagarh District,Odisha by Rajesh Kumar Pradhan, At/Po/Ps- Fategarh,Dist-Nayagarh,Odisha",RAJEESH KUMAR PRADHAN,EC Granted,EC
1,31,SIA/OR/MIN/245741/2021,245741/307-MINB2/06-2022,"Mania (Upper Mania) Stone Quarry over an area of 2.50 Acers or 1.011 Ha having Khata No.65, Plot No. 760 in the village Mania, Tahasil Semiliguda in district Koraput, State Odisha.",TAHASILDAR SEMILIGUDA,EC Granted,EC
2,32,SIA/OR/MIN/272143/2022,272143/739-MINB2/05-2022,Proposal for grant of Environmental Clearance for Gudkhapala Stone Quarry over an area of 3.13 Acres or 1.267 Hectares in village Gudkhapala under Deogaon Tahasil of Balangir district.,TAHASILDAR DEOGAON,EC Granted,EC
3,33,SIA/OR/MIN/228377/2021,228377/17-MINB2/09-2021,NEW PROPOSAL FOR GRANT OF EC FOR DUBURI NEW BUILDING STONE QUARRY OVER 2.72 HA. IN VILLAGE NIJAGADA TAPANGA BY SRI. SUKANTA KUMAR BISWAL,SHRI SUKANT KUMAR BISWAL,EC Granted,EC
4,34,SIA/OR/MIN/77232/2020,77232/291-MINB2/05-2022,"For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil For the grant of EC of Bichhakhandi Black Stone quarry No-8 (Cluster Serial No-4E/15), (Khata No-389, Plot No-1815(p)) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.of Jajpur District, Odisha.",TAHASILDAR DHARMASLA (ON BEHALF OF SUCCESSFUL BIDDER),EC Granted,EC
5,35,SIA/OR/MIN/260022/2022,260022/596-MINB2/03-2022,"For the grant of EC of Rajbandh sand quarry (Khata No-103, Plot No-95(P)) over an area of 2.64 acres or 1.068 hacters in village Rajbandh under Bamra Tahasil of Sambalpur District, Odisha.",TAHASILDAR BAMRA,EC Granted,EC
6,36,SIA/OR/MIN/279248/2022,279248/298-MINB2/06-2022,Proposal for grant of Environmental Clearance for Tulunda A Stone Quarry over an area of 7.200 Acres or 2.913 Hectares in village Tulunda undet Tarbha tahasil of Subarnapur district.,ABHISHEK PUJAHARI,EC Granted,EC
7,37,SIA/OR/MIN/279347/2022,279347/324-MINB2/07-2022,proposal for grant of EC for Chitroptala  River Sand Bed Santapur over an area of 12.35 or 5.0 Ha in village santapur under Nischintakoili Tahasil of cuttack district Odisha,TAHASILDAR NISCHINTAKOILI,EC Granted,EC
8,38,SIA/OR/MIS/274986/2022,274986/97-MIS/07-2022,Proposed Five Blocks of (S+10) & Three Blocks of (S+9) Storeyed Apartment Blocks and One Storeyed (G+2) Club-cum-Society,STATE BANK OF INDIA STAFF ASSOCIATION COOPERATIVE LIMITED,EC Granted,EC
9,39,SIA/OR/MIN/60333/2021,60333/262-MINB1/07-2022,Hazaridanga Stone Quarry III,TAHSILDAR KOLNARA,Accepted By SEAC,EC
10,40,SIA/OR/MIN/28878/2018,28878/17-MINB1/01-2020,"Ghatapada Garnet Mines over an area of 30.683 Ha in vill. Ghatapada, Tahasil: Kesinga, Dist- Kalahandi, Odisha of Sri Om Prakash Jain",SRI OMPRAKASH JAIN,EC Granted,EC
