,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
346,SIA/BR/MIN/65391/2017,SIA/1(a)/520/17,Bihar,Gaya,Neem Chak Bathani,Date of Submission for EC: 19 Jun 2017 ,Date of Ec Granted : 22 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
347,SIA/BR/MIN/32540/2019,SIA/1(a)/679/19,Bihar,Jehanabad,Arwal,Date of Submission for TOR: ,Date of Submission for EC: 15 Mar 2020 ,Non-Coal Mining,MOR MUKAT MARKETING PRIVATE LIMITED,Rejection Letter Granted
348,SIA/BR/MIN/154091/2020,,,,,Date of Submission for TOR: ,Date of Submission for EC: 23 May 2020 ,Non-Coal Mining,M/S JHAJHARIA GALVANO MAXWELL(JV),Delisted
349,SIA/BR/MIS/224624/2021,SIA/8(a)/1282/2021,Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for EC: 04 Sep 2021 ,Date of Ec Granted : 02 Dec 2021,INFRA-2,KASHYAP GREEN CITY PHASE-2,EC Granted
350,SIA/BR/MIS/172376/2020,SIA/8(a)/1237/2020,Bihar,Patna,Phulwari,Date of Submission for EC: 14 Sep 2020 ,Date of Ec Granted : ,INFRA-2,MUNDESHWARI MULTICOM PVT. LTD.,EC Granted
351,SIA/BR/MIN/135591/2020,,Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for TOR: ,Date of Submission for EC: 07 Jan 2020 ,Non-Coal Mining,"M/S. HERO BRICKS, PROP- SURESH PRASAD",Delisted
352,SIA/BR/MIN/31544/2019,SIA/1(a)/647/19,Bihar,Patna,Barh,Date of Submission for TOR: ,Date of Submission for EC: 07 Mar 2020 ,Non-Coal Mining,BROADSON COMODITIES PVT LTD,Referred Back to SEAC(A)
353,SIA/BR/MIN/31023/2019,SIA/1(a)/623/19,Bihar,Bhojpur,Koilwar,Date of Submission for EC: 13 Dec 2019 ,Date of Ec Granted : 22 Apr 2020,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
354,SIA/BR/MIN/63524/2017,SIA/1(a)/454/17,Bihar,Begusarai,Sahebpur Kamal,Date of Submission for EC: 28 Mar 2017 ,Date of Ec Granted : 30 Jun 2017,Non-Coal Mining,PUNJLLOYD LIMITED,EC Granted
355,SIA/BR/MIN/33831/2019,,Bihar,East Champaran,Areraj,Date of Submission for TOR: ,Date of Submission for EC: 28 Mar 2019 ,Non-Coal Mining,VINAY  KUMAR,Query raised by SEIAA and pending at PP
356,SIA/BR/MIN/30965/2019,SIA/1(a)/581/18,Bihar,Jamui,Jamui,Date of Submission for EC: 31 Aug 2019 ,Date of Ec Granted : 24 Oct 2019,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
357,SIA/BR/MIN/136027/2020,,Bihar,Gopalganj,Hathua,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2020 ,Non-Coal Mining,"M/S. S.B.S. INT UDYOG, PROP- BIRENDRA CHAUDHARI",Delisted
358,SIA/BR/MIN/144003/2020,,Bihar,Sitamarhi,Bathnaha,Date of Submission for TOR: ,Date of Submission for EC: 20 Feb 2020 ,Non-Coal Mining,M/S S R P ENT UDYOG PROP SUNIL KUMAR,Delisted
359,SIA/BR/MIN/145649/2020,,Bihar,Bhojpur,Barhara,Date of Submission for TOR: ,Date of Submission for EC: 26 Feb 2020 ,Non-Coal Mining,M/A- NUTAN BRICKS,Delisted
360,SIA/BR/MIN/60613/2016,SIA/1(a)/368/16,Bihar,Saran,Sonepur,Date of Submission for EC: 24 Nov 2016 ,Date of Ec Granted : 23 Dec 2016,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
361,SIA/BR/MIS/230256/2021,SIA/8(a)/1592/2021,Bihar,Gaya,Bodh Gaya,Date of Submission for EC: 21 Sep 2021 ,Date of Ec Granted : 29 Nov 2021,INFRA-2,KUMAR INFRATRADE ENTERPRISES PVT. LTD.,EC Granted
362,SIA/BR/MIN/128622/2019,,Bihar,Bhojpur,Koilwar,Date of Submission for TOR: ,Date of Submission for EC: 26 Feb 2020 ,Non-Coal Mining,M/S SWASTIK BRICKS,Delisted
363,SIA/BR/IND/18806/2017,SIA/3(a)/449/17,Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for EC: 01 May 2018 ,Date of Ec Granted : 24 Aug 2018,Industrial Projects - 1,J G FOUNDRY LTD,EC Granted
364,SIA/BR/MIN/130640/2019,,Bihar,Patna,Ghoswari,Date of Submission for TOR: ,Date of Submission for EC: 11 Dec 2019 ,Non-Coal Mining,M/S BSCPL INFRASTRUCTURE LTD,Delisted
365,SIA/BR/MIN/71233/2017,,Bihar,Gaya,Fatehpur,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2017 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
366,SIA/BR/MIN/33245/2019,,Bihar,Gopalganj,Sidhwalia,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2019 ,Non-Coal Mining,MR KAMAKHYA MISHRA,Query raised by SEIAA and pending at PP
