,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3,883,SIA/BR/MIS/226137/2021,SIA/8(a)/1654/2021,AVS Builders & Developers Pvt. Ltd.,A.V.S BUILDERS & DEVELOPERS PVT. LTD.,EC Granted,EC,
4,884,SIA/BR/MIN/41499/2019,,Proposed Sand Mining Project of area 5.0 ha at  Jaymangla Manoj  Ghat Simariya  on Ganga River of District- Begusarai of State-Bihar.,RADHA SWAMI AUTOMOBILES,Pending at PP due to eds,EC,
5,885,SIA/BR/MIN/30890/2019,SIA/1(a)/648/19,"sand mining project on Masaurha ghat on Son river over an area of 24.8 ha in district Patna, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,
6,886,SIA/BR/IND2/59222/2007,SIA/5(j)/994/2020,MAGADH SUGAR & ENERGY LTD Unit Hasanpur Sugar Mill Samastipur Bihar,"MAGADH SUGAR & ENERGY LTD, SAMASTIPUR, BIHAR",EC Granted,EC,
7,887,SIA/BR/MIN/66035/2017,SIA/1(a)/541/18,Sand Mining Project at Khairi Sand Ghat (Block no-6) on Kiul River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
8,888,SIA/BR/IND2/19502/2017,,INDIAN OIL CORPORATION LTD,INDIAN OIL CORPORATION LIMITED PATNA,Delisted,EC,
9,889,SIA/BR/MIN/59809/2016,,"Balu/ Sand Mining (Minor Mineral) Category- B2 (M.L. Area- 1.7 ha) with Production Capacity of 15000 TPA at Singhiya Ghat of Ganga River in Tehsil: Jamalpur, District: Munger (Bihar).",NM FOOD PRODUCT PVT LTD,TransferToDEIAA,EC,
10,890,SIA/BR/MIN/60709/2016,SIA/1(a)/391/16,"Proposed Sand Mining Project of Area 24 Ha at Chilka Tola Ghat on Son River of
District-Patna of State-Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,
1,891,SIA/BR/MIN/444603/2023,SIA/1(a)/2326/2023,"Sand Ghat Mining Project (Ulai River Block No. -04 Sand Ghat) of  District- Jamui, State- Bihar.",MANISH KUMAR,EC Granted,EC,
2,892,SIA/BR/MIN/440791/2023,SIA/1(a)/2264/2023,Proposed Sand Mining Project of Area 5.7 Ha at Kudra Stretch 01 (Block 01 to 08) on Kudra River of District-Kaimur (Bhabhua) State-Bihar.,RISHAV SINGH,EC Granted,EC,
3,893,SIA/BR/MIN/31380/2015,SIA/1(a)/15/2015,Kajal Int Udyog,NARESH PRASAD SINGH,Delisted,EC,
4,894,SIA/BR/MIN/442683/2023,,Sand Ghat Mining Project (Jamui Kiul Block - 11 Sand Ghat) at Riverbed of Kiul River,BHUSHAN KUMAR,Pending at PP due to eds,EC,
5,895,SIA/BR/MIN/64484/2017,SIA/1(a)/502/17,Sand mining project at Chaprdah ghat on morhar river,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
6,896,SIA/BR/MIN/446091/2023,SIA/1(a)/2321/2023,Sand Ghat Mining Project (Jehanabad Block No-12 Sand Ghat) at Riverbed of River Dardha,RAVINDRA SINGH,EC Granted,EC,
7,897,SIA/BR/INFRA2/416809/2023,SIA/8(a)/2273/2023,"Proposed Residential Building “Aranya P.N.B. Residency” at Godhana, Patna                         Total Plot Area: 8737.04 Sqm. Total Built up Area: 42138.98 Sqm. (Existing= 18659.38 Sqm. + Proposed = 23479.6 Sqm.).",ARANYA ENGICON PRIVATE LIMITED,EC Granted,EC,
8,898,SIA/BR/MIN/32328/2015,SIA/1(a)/54/2015,M/s Malik Int Udyog,SRI NARAYAN DUBEY,Delisted,EC,
9,899,SIA/BR/MIN/31588/2015,SIA/1(a)/32/2015,Brick Clay Mining Project of M/s Aman Marka  Bricks,SANJAY SINGH,Delisted,EC,
10,900,SIA/BR/MIN/31241/2015,3503,Brick Clay Mining Project-A-1 Int Udyog-B2,A ONE INT UDYOG,Delisted,EC,
1,901,SIA/BR/MIN/65394/2017,SIA/1(a)/515/17,Sand Mining Project at Chhanchh Sand Ghat on Mohana River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
2,902,SIA/BR/NCP/78262/2018,SIA/8(a)/600/18,"Proposed Construction of Govt Medical College and Hospital Block at Govt Sadar Hospital Complex, Line Bazar, Purnia town, Purnia East Tehsil, Purnia District, Bihar by M/s Bihar Medical Services Infrastructure Corporation Limited","BIHAR MEDICAL SERVICES & INFRASTRUCTURE CORPORATION LTD.,",EC Granted,EC,
3,903,SIA/BR/INFRA2/451160/2023,SIA/8(a)/2489/2023,"Proposed Residential Building “Durga 77° Resorts” at Digha Polson Road  Mauza-Digha , Patna, Bihar .",DURGA URBAN AND LEASING LLP,EC Granted,EC,
4,904,SIA/BR/MIN/60867/2016,SIA/1(a)/399/16,Sand Mining Project at Patila Ghat on River Son,BROADSON COMODITIES PVT LTD,EC Granted,EC,
5,905,SIA/BR/MIN/30966/2015,SIA/1(a)/05/2015,RAJA EINT UDYOG,CA RANJEET KUMAR JHA,Delisted,EC,
6,906,SIA/BR/MIN/60640/2016,SIA/1(a)/396/16,Sand Mining Project at Khangaon Bahiara Ghat,BROADSON COMODITIES PVT LTD,EC Granted,EC,
7,907,SIA/BR/MIN/60855/2016,SIA/1(a)/400/16,Sand Mining Project at Damriyahi Bakhtiyarpur Ghat on River Ganga,BROADSON COMODITIES PVT LTD,EC Granted,EC,
8,908,SIA/BR/MIN/65387/2017,SIA/1(a)/514/17,Sand Mining Project at Maraha Sand Ghat on Buddh River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
9,909,SIA/BR/MIN/70128/2017,,Sand mining project at Parsawan ghat on Morhar river,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
10,910,SIA/BR/MIN/31507/2015,SIA/1(a)/22/2015,M/s Kalawati Bricks Company,SURESH KUMAR MEGHANI,Delisted,EC,
1,911,SIA/BR/MIN/64483/2017,SIA/1(a)/476/17,Sand mining Project at Bankey bazar ghat on Morhar river,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
2,912,SIA/BR/MIS/83570/2018,SIA/8(a)/602/18,"SAI ENCLAVE
(A Project of Sri Anuanand Construction Pvt Ltd)",SRI ANU ANAND CONSTRUCTION PVT. LTD,Awaiting EC,EC,
3,913,SIA/BR/MIN/70064/2017,,Proposed Sand Mining Project at Hasanpur Sand Ghat on Morhar River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
4,914,SIA/BR/MIN/446816/2023,SIA/1(a)/2301/2023,"Sand Mining Project of Area 15.0 Ha at Sand block-07, Doriganj sand  Ghat on Ganga River of District-Saran of State-Bihar",SAHEB RAI,EC Granted,EC,
5,915,SIA/BR/MIN/75052/2018,SIA/1(a)/531/18,"Stone Mining Project  at Mauja-  Pachar, Anchal- Rafiganj, District-Aurangabad (Bihar)",K.P.S. STRUCTURE MAKERS PVT. LTD,EC Granted,EC,
6,916,SIA/BR/MIN/66262/2017,SIA/1(A)561/18,Sand Mining Project at Sono Sand Ghat on Barnar River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
7,917,SIA/BR/MIN/60661/2016,SIA/1(a)/397/16,Sand Mining Project at Haripur & Sadashivpur Ghat on River Son,BROADSON COMODITIES PVT LTD,EC Granted,EC,
8,918,SIA/BR/MIN/64379/2017,SIA/1(a)/483/17,Sand Mining Project at Kukiyasin Sand Ghat on Falgu River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
9,919,SIA/BR/MIN/137972/2020,,"Brick Earth Mining Project at Village- Pipralatif, P.O- Pipralatif, P.S- Parbatta, Anchal- Parbatta, District- Khagaria (Bihar)",M/S- STAR BRICKS,Delisted,EC,
10,920,SIA/BR/MIN/138832/2020,,"Ordinary Clay bscpl Infrastructure ltd mauza boraj, hathauri, shivaji nagar, samastipur",BSCPL INFRASTRUCTURE LTD MAUZA BORAJ AREA 7.04 AC,Delisted,EC,
1,921,SIA/BR/MIN/31029/2019,SIA/1(a)/621/19,"Sand mining project at Imadpur ghat on Son river in district Bhojpur, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,
2,922,SIA/BR/MIN/31456/2019,SIA/1(a)/645/19,"Sand mining project at Sarimpur Bachri Ghat on Son river in district Bhojpur, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,
