,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
807,808,7,SIA/BR/MIN/444351/2023,SIA/1(a)/2333/2023,"Proposed Sand Mining Project of Area 11 Ha at Darbhanga Sand Cluster/Unit No.- 01, Block-01 & 02 Sand Ghat on Bagmati River of District-Darbhanga, State-Bihar.",AMIT KUMAR,EC Granted,EC,, 
808,809,8,SIA/BR/MIN/66273/2017,,Sand Mining Project at Pipra Sand Ghat on Patro River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
809,810,9,SIA/BR/MIN/31378/2015,SIA/1(a)/16/2015,Clay Mining Project of M/s Rani Int Udyog,RAMASHANKAR YADAV,Delisted,EC,, 
810,811,10,SIA/BR/MIN/31594/2015,SIA/1(a)/35/2015,Brick Clay Mining Project of M/s Balaji  Marka  Bricks,SUNIL KUMAR SINGH,Delisted,EC,, 
811,812,1,SIA/BR/MIN/30938/2015,SIA/1(a)/04/2015,STONE MINING PROJECT-NECL-B2,NAVAYUGA ENGINEERING COMPANY LTD,Delisted,EC,, 
812,813,2,SIA/BR/MIN/48475/2016,,"River Sand (Minor Mineral) Mining Project for Rivers , Mahiyama Ghat,  in Bhagalpur District of Bihar",MS SAINIK FOOD PVT LTD,Delisted,EC,, 
813,814,3,SIA/BR/MIN/66031/2017,SIA/1(a)/544/18,Sand Mining Project at Sharma Sand Ghat (Block no-11) on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
814,815,4,SIA/BR/MIN/444668/2023,SIA/1(a)/2371/2023,"Proposed Sand Mining Project of Area 49.75 Ha at Sone River Cluster No.- 15 (Patna Sone Sand Ghat-18) on Sone River of District-Patna, State-Bihar.",SAHABAD CONSTRUCTIONS LLP,EC Granted,EC,, 
815,816,5,SIA/BR/MIN/32722/2015,SIA/1(a)/59/2015,Soil Mining Project of Prop.- Sri Vinod Kumar Singh,VINOD KUMAR SINGH,Delisted,EC,, 
816,817,6,SIA/BR/IND2/30327/2018,SIA/5(j)/523/18,Harinagar Sugar Mills Ltd,HARINAGAR SUGAR MILLS LTD,Delisted,EC,, 
817,818,1,SIA/BR/MIS/61227/2016,SIA/8(a)/417/17,"Proposed Madhubani Medical College at Madhubani, Bihar by Dr. Fayaz Ahmad, President, Milli Trust, Madhubani","DR. FAYAZ AHMAD, PRESIDENT, MILLI TRUST, MADHUBANI",EC Granted,EC,, 
818,819,2,SIA/BR/MIN/66074/2017,SIA/1(a)/580/18,Sand Mining Project at Sair & Pandeydih Sand Ghat on Ulai River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
819,820,3,SIA/BR/MIN/439004/2023,SIA/1(a)/2248/2023,Arwal Son Koriyam Sand (Arwal Son 01) Ghat,RANA UDAY SINGH,EC Granted,EC,, 
820,821,4,SIA/BR/INFRA2/431928/2023,SIA/8(a)/2433/2023,"Proposed Residential Cum Commercial Building “Green Meadows” at Mustafapur, Patna, Bihar",YASH RAJ BUILDERS AND PROMOTERS PRIVATE LIMITED,EC Granted,EC,, 
821,822,5,SIA/BR/MIN/66082/2017,SIA/1(a)/556/18,Sand Mining Project at Bariyarpur Sand Ghat on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
822,823,6,SIA/BR/MIN/66111/2017,SIA/1(a)/572/18,Sand Mining Project at Daulatpur Sand Ghat on River Kiul,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
823,824,7,SIA/BR/MIN/30350/2015,3491,Brick Clay Mining Project- Mamta Bricks,MAMTA BRICKS,Delisted,EC,, 
824,825,8,SIA/BR/MIN/441319/2023,SIA/1(a)/2330/2023,"Proposed Sand Mining Project of Area  10.2 Ha at Kiul River Block -06, District- Jamui, State - Bihar on River Kiul",ANIMESH SANWARIA,EC Granted,EC,, 
825,826,9,SIA/BR/MIN/446219/2023,SIA/1(a)/2279/2023,Sand Ghat Mining Project (Saharsa Tilawe River Unit 02) at Riverbed of Tilawe River,ANIRUDH SINGH,EC Granted,EC,, 
826,827,10,SIA/BR/MIN/64398/2017,SIA/1(a)/493/17,Sand Mining Project at Palhat Kalan Ghat on Buddh River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
827,828,3,SIA/BR/MIN/443129/2023,SIA/1(a)/2266/2023,"Sand Mining Project, Jamui Barnar-06 Sand Ghat  of District- Jamui, State-Bihar.",D.K BROTHERS TRADE CON.,EC Granted,EC,, 
828,829,4,SIA/BR/MIN/71034/2017,SIA/1(a)/530/18,STONE MINING PROJECT AT BLOCK NO-28,SHRI RAVISHANKAR KUMAR DEOGHAR (JHARKHAND),Delisted,EC,, 
829,830,5,SIA/BR/MIN/59826/2016,SIA/1(a)/354/16,"KUMARSHAR GHAT OF BADHUA RIVER
TEHSIL SANGRAMPUR, DISTRICT MUNGER, BIHAR
M.L. AREA 10.54 HA",NM FOOD PRODUCT PVT LTD,EC Granted,EC,, 
830,831,6,SIA/BR/MIN/66511/2017,,Sand Mining project at Dinari Sand Ghat on Barnar River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
831,832,7,SIA/BR/MIN/71321/2017,,"Sand Mining Project at Shahpur sand Ghat on Buddh River, Anchal-Paraiya, Dist- Gaya, Bihar",WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
832,833,8,SIA/BR/MIN/442306/2023,SIA/1(a)/2262/2023,Proposed Sand Mining Project of Area  57.80 Ha at Rohtas Sone  Ghat 13 on Sone River of District-Rohtas State-Bihar.,BIMAL KUMAR,EC Granted,EC,, 
833,834,9,SIA/BR/MIN/18369/2015,SIA/1(a)/443/17,"Matokhar & Surdaspur Stone Mine, Block-5, Area- 5.26 ha village - Matokhar & Surdaspur",MS VIBHARAJ CONSTRUCTION PVT LTD,EC Granted,EC,, 
834,835,10,SIA/BR/MIS/64655/2017,SIA/8(a)/464/17,"Venus Paradise, Residential Building Project by Venus Start Construction Pvt. Ltd.",VENUS STAR CONSTRUCTION PVT LTD,EC Granted,EC,, 
835,836,1,SIA/BR/IND/64983/2017,SIA/3(b)/460/17,Expansion of Existing Cement Grinding Unit From 2.0 MTPA to 4.0 MTPA,M/s. UltraTech Cement Ltd.,EC Granted,EC,, 
836,837,2,SIA/BR/MIN/17977/2015,SIA/1(a)/409/17,"Rajauli (Block 2) Building  Stone Mining Project,Village: Rajauli, Tehsil-Nawada &  District-Nawada, State-Bihar",MS MAHADEV ENCLAVE PVT LTD,EC Granted,EC,, 
837,838,3,SIA/BR/NCP/78299/2018,SIA/8(a)/567/18,Upgradation of A.N. Magadh Medical College & Hospital M/s Central Public Works Department (CPWD),CENTRAL PUBLIC WORKS DEPARTMENT,EC Granted,EC,, 
838,839,4,SIA/BR/MIN/64343/2017,SIA/1(a)/474/17,Sand Mining Project at Baijudham Sand Ghat on Morhar River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
839,840,5,SIA/BR/MIS/66587/2021,21-88/2021-IA-III,Commercial cum Residential Building Project,A.V.S BUILDERS & DEVELOPERS PVT. LTD.,WithdrawEC,EC,, 
