,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
8,8118,SIA/MH/MIN/156989/2020,SIA/MH/MIN/156989/2020,Bangalwadi River Bed Sand Mining Project,"DISTRICT MINING OFFICER, OSAMANABAD",Rejection Letter Granted,EC,
9,8119,SIA/MH/NCP/63908/2017,,Memories by Namo Developers,MAJESTIQUE MEMORIES,Disposed through earlier site ec-ecmpcb-in,EC,
10,8120,SIA/MH/MIN/240000/2021,SIA/MH/MIN/240000/2021,Kalaspur  Sand Ghat,DMO YAVATMAL,EC Granted,EC,
1,8121,SIA/MH/INFRA2/417575/2023,SIA/MH/INFRA2/417575/2023,Mariplex Building - Commercial Construction Project at Plot 10,YUCCA REALTY LLP,ADS by SEAC,EC,
2,8122,SIA/MH/INFRA2/416796/2023,SIA/MH/INFRA2/416796/2023,"Proposed redevelopment of existing residential building known as “Ganesh Dham Society” located at plot bearing CTS No. 10 of village Mulund East, Mumbai.",MEHTA & SHIRODKAR DEVELOPERS,EC Granted,EC,
3,8123,SIA/MH/MIN/420492/2023,SIA/MH/MIN/420492/2023,"Minor Mineral (Stone & Murrum) Quarry Project,Lease Area: 1.00 Ha, Survey/Gat No.: 94 (Part), Land type: Pvt. Land, Mouza: Pathar Deolgaon, Tal: Badnapur, Dist: Jalna, State: Maharashtra.",RAJU BAROKAR,Under examination of SEAC,EC,
4,8124,SIA/MH/MIN/407274/2022,SIA/MH/MIN/407274/2022,Environmental clearance for proposed river bed sand mining having lease area 1.08Ha of Sodegaon Sand ghat on Kayadhu River.,"DISTRICT MINING OFFICER,HINGOLI",EC Granted,EC,
5,8125,SIA/MH/MIN/418627/2023,SIA/MH/MIN/418627/2023,ENVIRONMENT CLEARANCE FOR ROTI A SAND GHAT TQ NANDURA DIST BULDHANA AREA 1.50 HA QTY BRASS 3180,Collector Office,Agenda Uploaded by SEIAA,EC,
6,8126,SIA/MH/MIN/404609/2022,SIA/MH/MIN/404609/2022,Bundali be. Sand Project,KUSHALSINH PARDESHI,EC Granted,EC,
7,8127,SIA/MH/MIN/421383/2023,SIA/MH/MIN/421383/2023,Bolegaon-2 sand spot,KUSHALSINH PARDESHI,EC Granted,EC,
8,8128,SIA/MH/MIN/410278/2022,SIA/MH/MIN/410278/2022,"Jeur Kumbhari sand ghat , Godavari River , Nearest Gut No. 142,Tq. Kopargaon , Dist. Ahmednagar, Area - 1.32 ha , Brass- 4655",VASEEM SAYED,EC Granted,EC,
9,8129,SIA/MH/MIN/410198/2022,SIA/MH/MIN/410198/2022,"Kharadgaon  Sand Ghat, Godavari  River ,Nearest Gut no  480 to 485, 488 to 490, 436, 437, 438  Tq. Shevgaon Dist. Ahmednagar , Area- 1.05 Ha, Qty - 3703 Brass",VASEEM SAYED,EC Granted,EC,
10,8130,SIA/MH/MIN/410620/2022,SIA/MH/MIN/410620/2022,"Environment Clearance for Chandmara Sand Ghat over an extent of 3.0 ha at Bawanthadi River Bed Gut No. 97, 101, 168 (Part), Village Chandmara, Tehsil Tumsar, District Bhandara, Maharashtra",RAJVILAS GAJBHIYE,EC Granted,EC,
1,8131,SIA/MH/IND3/248314/2021,,"Proposed Synthetic Organic Chemical manufacturing unit by Smaart Pharmaceuttical at Plot No. B-23, MIDC Ajantha Road Jalgaon Dist- Jalgaon, Maharashtra.",SMAART PHARMACEUTTICALS,WithdrawEC,EC,
2,8132,SIA/MH/MIS/249894/2022,SIA/MH/MIS/249894/2022,"Proposed building “Balaji Exotica” on plot bearing on S.No. 16, H. No. 8/2 at village Chikanghar, Taluka- Kalyan, Thane. By M/s. Balaji World.",GUL PANJWANI,Delisted,EC,
3,8133,SIA/MH/MIN/249952/2022,SIA/MH/MIN/249952/2022,Hiwra Ka. sand Ghat,DMO WARDHA,EC Granted,EC,
