,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
440,SIA/PB/MIN/52269/2016,,M/s PB Bricks Industry,Punjab,Firozpur,Zira,Date of Submission for TOR: ,Date of Submission for EC: 29 Mar 2016 ,Non-Coal Mining,PB BRICKS INDUSTRIES,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIN/52269/2016&pid=15925,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/52269/2016&type=EC&ID=15925
441,SIA/PB/MIN/429451/2023,SEIAA/PB/MIN/2023/EC/31,"Tangri-2 Sand Mining Project for Executive Engineer/SAS Nagar Drainage Cum-Mines & Geology Water Resources Department, Punjab",Punjab,,,Date of Submission for EC: 24 Jun 2023 ,Date of Ec Granted : 12 Sep 2023,Non-Coal Mining, EXECUTIVE ENGINEER NANGAL MECHANICAL DIVISION WITH HEAD QUARTER MOHALI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIN/429451/2023&pid=221900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/429451/2023&type=EC&ID=221900
442,SIA/PB/NCP/74900/2018,SEIAA/PB/NCP/EC/2018/15,AMAYRA CITY,Punjab,SAS Nagar,Kharar,Date of Submission for EC: 17 Jul 2018 ,Date of Ec Granted : 07 Sep 2018,INFRA-1,OMINI PACIFIC COLONIZERS PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/NCP/74900/2018&pid=44036,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/NCP/74900/2018&type=EC&ID=44036
443,SIA/PB/IND/25699/2015,SEIAA/PB/NCP/EIA/2018/04,IA/PB/IND/27339/2015,Punjab,Fatehgarh Sahib,Amloh,Date of Submission for EC: 06 Jun 2018 ,Date of Ec Granted : 22 Aug 2019,Industrial Projects - 1,Ashwani K Garg,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/IND/25699/2015&pid=43739,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/25699/2015&type=EC&ID=43739
444,SIA/PB/MIS/17044/2014,SEIAA/PB/CETP/EIA/2017/1,Common Effluent Treatment Plant for Jalandhar Effluent Treatment Society,Punjab,Jalandhar,Jalandhar - I,Date of Submission for EC: 21 Jan 2017 ,Date of Ec Granted : 24 Apr 2017,INFRA-2,JALANDHAR EFFLUENT TREATMENT SOCIETY FOR ELECTROPLATING INDUSTRIES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/17044/2014&pid=24828,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/17044/2014&type=EC&ID=24828
445,SIA/PB/IND/57686/2020,SEIAA/PB/IND/2022/EC/07,"Steel Manufacturing Unit namely “M/s Shri Ambey  Steel  Industries”  for incresing the production  capacity to 1,89,400 TPA located  at Peer Gajju  Shah Road, Village Alour, Tehsil Khanna, District  Ludhiana, Punjab.",Punjab,Ludhiana,Khanna,Date of Submission for EC: 05 Mar 2022 ,Date of Ec Granted : 12 May 2022,Industrial Projects - 1,SHRI AMBEY STEEL INDUSTRIES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/IND/57686/2020&pid=198819,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/57686/2020&type=EC&ID=198819
446,SIA/PB/MIN/150559/2020,SEIAA/PB/MIN/EC/2020/12,"Mining lease Located in Village-Mandiwala, Tehsil- Guru Har Sahai, District –Ferozepur on the Agricultural Land having an area of 1.11 ha",Punjab,Firozpur,Guru Harsahai,Date of Submission for EC: 15 Jun 2020 ,Date of Ec Granted : 09 Oct 2020,Non-Coal Mining,PRIME VISION INDUSTRIES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIN/150559/2020&pid=99994,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/150559/2020&type=EC&ID=99994
447,SIA/PB/MIS/252178/2022,SEIAA/PB/MIS/2022/EC/04,JOY GRAND,Punjab,SAS Nagar,S.A.S.Nagar (Mohali),Date of Submission for EC: 01 Feb 2022 ,Date of Ec Granted : 02 Mar 2022,INFRA-2, JOY ERA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/252178/2022&pid=198044,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/252178/2022&type=EC&ID=198044
448,SIA/PB/MIS/60557/2021,IA3-21/9/2021-IA.III,"Group Housing Residential Pocket 2B namely “Galaxy Heights II” at Sector 66A, 82 & 83, Distt. SAS Nagar, Mohali, Punjab by M/s Janta Land Promoters Private Limited.",Punjab,SAS Nagar,S.A.S.Nagar (Mohali),Date of Submission for TOR: ,Date of Submission for EC: 02 Feb 2021 ,INFRA-2,JANTA LAND PROMOTERS PVT. LTD.,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/MIS/60557/2021&pid=162972,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/60557/2021&type=EC&ID=162972
449,SIA/PB/INFRA2/446375/2023,SEIAA/PB/MIN/2023/EC/61,"Proposed Group Housing Project “Nivasa” at Village Ramgarh Bhudda, Airport Road, Zirakpur, Distt. SAS Nagar (Mohali), Punjab by M/s Aerotown Developers LLP",Punjab,,,Date of Submission for EC: 24 Nov 2023 ,Date of Ec Granted : 25 Jan 2024,INFRA-2, AEROTOWN DEVELOPERS LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Punjab&pno=SIA/PB/INFRA2/446375/2023&pid=226205,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/INFRA2/446375/2023&type=EC&ID=226205
