,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
764,765,9,SIA/PB/NCP/75343/2018,SEIAA/PB/NCP/EC/2018/11,sushma prestine,DREAMCITY REALTORS PVT LTD,EC Granted,EC,, 
765,766,10,SIA/PB/MIN/36727/2015,,GULANI GRAM UDYOG SAMITI VILLAGE AHMADPUR TEHSIL BUDHLADA DISTT MANSA,GULANI GRAM UDYOG SAMITI,Delisted,EC,, 
766,767,4,SIA/PB/MIN/50663/2016,,Mining Brick Earth in Village Bassi Gujjran by M/s Anil Khullar BKO,ANIL KHULLAR  BKO,Delisted,EC,, 
767,768,5,SIA/PB/INFRA2/450041/2023,SEIAA/PB/MIS/2023/EC/65,Expansion of Existing Residential Project by M/s Suman Divine Homes,SUMAN DIVINE HOMES,Pending at PP due to eds,EC,, 
768,769,6,SIA/PB/NCP/11539/2016,SEIAA/PB/BLDG/EIA/2018/1,WAVE ESTATE,COUNTRY COLONISERS PVT LIMITED,EC Granted,EC,, 
769,770,7,SIA/PB/MIN/48438/2016,,M/s Kay Kay Bhatha Vill.Jeewan Arain Teh. Guruharsahai Distt.Ferozepur,KAY KAY BHATHA,Delisted,EC,, 
770,771,8,SIA/PB/MIN/442916/2023,SEIAA/PB/MIN/2023/EC/52,Sahowal Sand Mining Project over an extent of 1.0 hect,Department of Irrigation,EC Granted,EC,, 
771,772,9,SIA/PB/MIN/36157/2015,,Ranjan Kumar BKO,RANJAN KUMAR BKO,Delisted,EC,, 
772,773,10,SIA/PB/MIN/49421/2016,,Shiv Bricks Company,SHIVBRICKSCOMPANY,Delisted,EC,, 
773,774,1,SIA/PB/NCP/71252/2017,SEIAA/PB/NCP/2017/EC/23,PRESTIGE TOWERS,VERA DEVELOPERS PVT LTD,EC Granted,EC,, 
774,775,2,SIA/PB/MIN/39892/2016,,EARTH MINING OF BRICK KILN IN THE REVENUE ESTATE OF VILL. TUNGAN TEHSIL SANGRUR BY RAM PARSHAD BKO SIBIAN,RAM PARSHAD BKO,Delisted,EC,, 
775,776,9,SIA/PB/MIN/58846/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/19,Lubangarh Sand Mining Project,LUBANGARH SAND MINING PROJECT,EC Granted,EC,, 
776,777,10,SIA/PB/MIS/53933/2016,SEIAA/PB/NCP/EC/EXPN/2016/3,"Expansion of  Estate One Residential Colony
at Village Rajpura Hussainpura and Bhatian 
District Ludhiana 
Eldeco Infrastructure & Properties Ltd",ELDECO INFRASTRUCTURES AND PROPERTIES LTD,EC Granted,EC,, 
777,778,1,SIA/PB/INFRA2/403868/2023,SEIAA/PB/MIS/2023/EC/07,"Dolphin Industrial Park (Agro-Based) at Village Jiwanpura, Tehsil and Distt. Fatehgarh Sahib, Punjab by  M/s Dolphin Mercantile Pvt. Ltd",DOLPHIN MERCANTILE PRIVATE LIMITED,EC Granted,EC,, 
778,779,2,SIA/PB/MIN/49262/2016,,M/s Ganesh BKO,MS GANESH BKO,Delisted,EC,, 
779,780,3,SIA/PB/MIN/61164/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/17,Bagghian Sand Mining Project,DIC LUDHIANA,EC Granted,EC,, 
780,781,5,SIA/PB/IND3/247434/2021,SEIAA/PB/IND/2022/EC/08,"M/s Akums Lifesciences Ltd. at Village Chhachrauli, Tehsil Derabassi, Distt. Mohali, Punjab, India.",AKUMS LIFESCIENCES LIMITED,EC Granted,EC,, 
781,782,6,SIA/PB/IND2/206464/2021,SEIAA/PB/IND/EC/08,Virat Life Sciences,VIRAT LIFE SCIENCES,EC Granted,EC,, 
782,783,8,SIA/PB/IND/66130/2021,,,Shree Cement Ltd.,WithdrawEC,EC,, 
783,784,10,SIA/PB/MIS/163830/2020,,Sarb Sukh Hotels,SARABJIT SINGH S/O GURBAX SINGH,WithdrawEC,EC,, 
784,785,2,SIA/PB/MIS/206597/2021,SEIAA/PB/MIS/EC/05,"Group Housing Project namely “Noble CALLISTA” proposed at Plot No. 1, IT City, Sector-66B SAS Nagar Mohali (Punjab) by M/s NOBLE Dream Projects Pvt. Ltd.",M/S NOBLE DREAM PROJECTS PVT. LTD.,EC Granted,EC,, 
785,786,3,SIA/PB/IND/25954/2018,SEIAA/PB/IND/EC/11,M/s Shiva Castings Pvt. Ltd.,M/S SHIVA CASTINGS PVT. LTD.,EC Granted,EC,, 
786,787,4,SIA/PB/MIS/253518/2022,SEIAA/PB/MIS/2022/EC/05,"Group Housing project namely “Sheesh Mahal Skyline” in pocket A of the already existing residential colony namely Sheesh Mahal on Dabwali road, Bhatinda, Punjab by M/s Sheesh Mahal Developers Ltd.",SHEESH MAHAL DEVELOPERS LIMITED,EC Granted,EC,, 
787,788,6,SIA/PB/MIS/153794/2020,SEIAA/PB/MIS/EC/2020/08,SUSHMA BELLEZA,SUKSHA DEVELOPERS PVT LIMITED,EC Granted,EC,, 
788,789,7,SIA/PB/IND/22600/2018,SEIAA/PB/IND/2019/EIA/09,Steel manufacturing unit for increasing the production capacity to 1000 TPD.,JOGINDRA CASTINGS PVT. LTD.,EC Granted,EC,, 
