,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
9,409,SIA/PB/INFRA2/442407/2023,SEIAA/PB/MIS/2023/EC/44,Group Housing project namely “Crescent City Apartments” by M/s Vadhera Apartments Pvt. Ltd.,VADHERA APARTMENTS PRIVATE LIMITED,EC Granted,EC,
10,410,SIA/PB/MIN/34069/2015,,garg,OM BKO,Delisted,EC,
1,411,SIA/PB/INFRA1/432591/2023,,"""Integrated Manufacturing Cluster"" by M/s Punjab Urban Planning & Development Authority (PUDA)","INDUSTRIAL MANUFACTURING CLUSTER (IMC), RAJPURA BY PUDA",Pending at PP due to eds,EC,
2,412,SIA/PB/MIN/42561/2016,,Mining of  Brick Earth in Village Dehar by M/s Sewa Singh & Company,SEWA SINGH AND COMPANY,Delisted,EC,
3,413,SIA/PB/MIN/37164/2015,,MUKAND LAL AGGARWAL BKO,MUKAND LAL AGGARWAL BKO,Delisted,EC,
4,414,SIA/PB/MIN/35695/2015,,Mining of Brick Earth in Village  Bassali by M/S KAUSHAL BROTHERS,KAUSHAL BROTHERS,Delisted,EC,
5,415,SIA/PB/NCP/78684/2018,,Trishla City Developed by Trishla Buidtech (P) Ltd.,TRISHLA BUILDTECH PVT LIMITED,WithdrawEC,EC,
6,416,SIA/PB/MIN/38456/2016,,BB & CO BKO MINING SITE AT WARHA DRAKA KOTKAPURA FARIDKOT,BB BKO COMPANY,Delisted,EC,
7,417,SIA/PB/INFRA2/432120/2023,,SUNVIEW RESIDENCY,HOME LIFE BUILDCON PRIVATE LIMITED,Pending at PP due to eds,EC,
8,418,SIA/PB/MIN/63033/2017,,Aaspur sand bajri mining project,AASPUR SAND BAJRI MINING PROJECT,TransferToDEIAA,EC,
9,419,SIA/PB/MIN/59428/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/22,Chak Bahmanian Sand mining Project,GM CUM MINING OFFICER DIC PUNJAB,EC Granted,EC,
10,420,SIA/PB/MIN/431476/2023,SEIAA/PB/MIN/2023/EC/39,"Proposed sand mining project (Boulder, gravel, sand) as per DSR NO. SEIAA/MS/2022/1318 with production capacity of 16131 TPA over an area of 3.07 Ha on the Sutlej River Bed (PB_RUP_SUT_1_2_3_4) located at village- Bela Dhani ,Tehsil- Nangal, District-Rupnagar, Punjab through XEN/DMO District Rupnagar, Government of Punjab.",Department of Irrigation,WithdrawEC,EC,
1,421,SIA/PB/MIN/42633/2016,,Malhotra Brothers,MALHOTRA BROS,Delisted,EC,
2,422,SIA/PB/MIN/59445/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/27,Raipur Gujjran Sand mining Project,GM CUM MINING OFFICER DIC PUNJAB,EC Granted,EC,
3,423,SIA/PB/INFRA2/411576/2022,SEIAA/PB/MIS/2022/EC/40,"Development of “AFFORDABLE GROUP HOUSING” by MEXMON DEVELOPERS PRIVATE LIMITED located at Village-Qadianwali, Tehsil & District-Jalandhar, State-Punjab.",MEXMON GLOBAL DEVELOPERS PRIVATE LIMITED,EC Granted,EC,
4,424,SIA/PB/NCP/41028/2016,SEIAA/PB/Bldg const/2016/6,BEVERLY GOLF AVENUE,MB INFRABUILD PVT LIMITED,EC Granted,EC,
5,425,SIA/PB/IND2/30118/2018,,expansion of BPCL LPG Bottling Plant,BPCL BATHINDA,Delisted,EC,
6,426,SIA/PB/MIS/110787/2019,SEIAA/PB/NCP/EC/2019/21,LOK AWAS,VERA DEVELOPERS PVT LTD,EC Granted,EC,
7,427,SIA/PB/MIN/39340/2019,,"Mining of Sand/Gravel, Village- Panjola, District- Rupnagar, Punjab by M/s. Sh. Kamaljeet Singh, S/o Sh. Sardar Amrik Singh",KAMALJEET SINGH S/O SH. SARDAR AMRIK SINGH,Delisted,EC,
8,428,SIA/PB/IND2/204489/2021,,"Proposed installation of 200 KLPD grain based Ethanol Plant (Biofuel) and 10 MW of Power Cogeneration at the existing grain based distillery plant located at Village Machhana and Sangat Kalan, Tehsil Sangat, District Bathinda, Punjab",BCL INDUSTRIES LTD.,Delisted,EC,
9,429,SIA/PB/MIN/149047/2020,SEIAA/PB/MIN/EC/2020/11,"Environment Clearance of Mining lease Located at Village- Jama Rakhaiya Uttar, Tehsil & District- Ferozepur on the Agricultural Land having an area of  1.65 ha",PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,
10,430,SIA/PB/MIS/235639/2021,SEIAA/PB/MIS/2022/EC/02,CENTRAL STREET,ALAKNANDA ENTERPRISES,EC Granted,EC,
